datum,transaction,instrument,holder,location,measure,value,edate,year,month,day
"2015-01","BT","D","AZ","II","BTF",212.09386,20089,2015,1,1
"2015-01","BT","EG","IZ","II","TT",34.9,20089,2015,1,1
"2015-01","BT","EG","IZ","II","BMF",9.5,20089,2015,1,1
"2015-01","BT","EG","IZ","II","BTF",272.2063,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","TT",152,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","BMF",62.3,20089,2015,1,1
"2015-01","BT","EG","IZ","IA","BTF",409.86842,20089,2015,1,1
"2015-01","BE","D","IZ","II","TT",,20089,2015,1,1
"2015-01","BE","D","IZ","II","BMF",,20089,2015,1,1
"2015-02","ZT","K","IZ","II","TT",12450,20120,2015,2,1
"2015-02","ZT","K","IZ","II","BMF",1385.4,20120,2015,2,1
"2015-02","ZT","K","IZ","II","BTF",111.27711,20120,2015,2,1
"2015-02","ZT","K","IZ","IA","TT",8239.8,20120,2015,2,1
"2015-02","ZT","K","IZ","IA","BMF",1134.8,20120,2015,2,1
"2015-02","ZT","K","IZ","IA","BTF",137.72179,20120,2015,2,1
"2015-02","ZT","K","AZ","II","TT",3162.3,20120,2015,2,1
"2015-02","ZT","K","AZ","II","BMF",619.4,20120,2015,2,1
"2015-02","ZT","K","AZ","II","BTF",195.87009,20120,2015,2,1
"2015-02","ZT","D","IZ","II","TT",45536.9,20120,2015,2,1
"2015-02","ZT","D","IZ","II","BMF",2952.8,20120,2015,2,1
"2015-02","ZT","D","IZ","II","BTF",64.844115,20120,2015,2,1
"2015-02","ZT","D","IZ","IA","TT",1642,20120,2015,2,1
"2015-02","ZT","D","IZ","IA","BMF",164.4,20120,2015,2,1
"2015-02","ZT","D","IZ","IA","BTF",100.1218,20120,2015,2,1
"2015-02","ZT","D","AZ","II","TT",679.8,20120,2015,2,1
"2015-02","ZT","D","AZ","II","BMF",58.4,20120,2015,2,1
"2015-02","ZT","D","AZ","II","BTF",85.90762,20120,2015,2,1
"2015-02","ZT","EG","IZ","II","TT",469,20120,2015,2,1
"2015-02","ZT","EG","IZ","II","BMF",31.8,20120,2015,2,1
"2015-02","ZT","EG","IZ","II","BTF",67.803838,20120,2015,2,1
"2015-02","ZT","EG","IZ","IA","TT",1073.9,20120,2015,2,1
"2015-02","ZT","EG","IZ","IA","BMF",74.4,20120,2015,2,1
"2015-02","ZT","EG","IZ","IA","BTF",69.280194,20120,2015,2,1
"2015-02","PGT","K","IZ","II","TT",10023.5,20120,2015,2,1
"2015-02","PGT","K","IZ","II","BMF",1047.7,20120,2015,2,1
"2015-02","PGT","K","IZ","II","BTF",104.52437,20120,2015,2,1
"2015-02","PGT","K","IZ","IA","TT",3191,20120,2015,2,1
"2015-02","PGT","K","IZ","IA","BMF",510.7,20120,2015,2,1
"2015-02","PGT","K","IZ","IA","BTF",160.04387,20120,2015,2,1
"2015-02","PGT","K","AZ","II","TT",2844.8,20120,2015,2,1
"2015-02","PGT","K","AZ","II","BMF",533.3,20120,2015,2,1
"2015-02","PGT","K","AZ","II","BTF",187.46485,20120,2015,2,1
"2015-02","PGT","D","IZ","II","TT",45175.8,20120,2015,2,1
"2015-02","PGT","D","IZ","II","BMF",2926.9,20120,2015,2,1
"2015-02","PGT","D","IZ","II","BTF",64.789113,20120,2015,2,1
"2015-02","PGT","D","IZ","IA","TT",1639.5,20120,2015,2,1
"2015-02","PGT","D","IZ","IA","BMF",164.2,20120,2015,2,1
"2015-02","PGT","D","IZ","IA","BTF",100.15249,20120,2015,2,1
"2015-02","PGT","D","AZ","II","TT",670.2,20120,2015,2,1
"2015-02","PGT","D","AZ","II","BMF",56.3,20120,2015,2,1
"2015-02","PGT","D","AZ","II","BTF",84.004775,20120,2015,2,1
"2015-02","PGT","EG","IZ","II","TT",374.6,20120,2015,2,1
"2015-02","PGT","EG","IZ","II","BMF",24.1,20120,2015,2,1
"2015-02","PGT","EG","IZ","II","BTF",64.335291,20120,2015,2,1
"2015-02","PGT","EG","IZ","IA","TT",253.3,20120,2015,2,1
"2015-02","PGT","EG","IZ","IA","BMF",25.9,20120,2015,2,1
"2015-02","PGT","EG","IZ","IA","BTF",102.2503,20120,2015,2,1
"2015-02","PGKL","K","IZ","II","TT",1190.5,20120,2015,2,1
"2015-02","PGKL","K","IZ","II","BMF",28.6,20120,2015,2,1
"2015-02","PGKL","K","IZ","II","BTF",24.02352,20120,2015,2,1
"2015-02","PGKL","K","AZ","II","TT",12.5,20120,2015,2,1
"2015-02","PGKL","K","AZ","II","BMF",.4,20120,2015,2,1
"2015-02","PGKL","K","AZ","II","BTF",32,20120,2015,2,1
"2015-02","PGKL","D","IZ","II","TT",6.8,20120,2015,2,1
"2015-02","PGKL","D","IZ","II","BMF",.2,20120,2015,2,1
"2015-02","PGKL","D","IZ","II","BTF",29.411765,20120,2015,2,1
