"Date","Cardholder origin","Cardholder origin detail","Amount CHF","Number of transactions"
"2019-01-20","Foreign","GBR",1656945.56,20335
"2019-01-20","Foreign","ITA",1133034.59,14893
"2019-01-20","Foreign","LIE",70658.18,1064
"2019-01-20","Foreign","NLD",393354.64,4281
"2019-01-20","Foreign","RUS",369018.07,2919
"2019-01-20","Foreign","RoW",3576695.64999999,36295
"2019-01-20","Foreign","USA",1144756.76,12699
"2019-01-21","Domestic","CHE",107192073.74,2170400
"2019-01-21","Foreign","AUT",238631.02,2693
"2019-01-21","Foreign","CHN",2103309.84,3916
"2019-01-21","Foreign","DEU",1646811.64,21260
"2019-01-21","Foreign","FRA",1721723.56,34454
"2019-01-21","Foreign","GBR",2015946.72,23010
"2019-01-21","Foreign","ITA",873479.73,12686
"2019-01-21","Foreign","LIE",195425.54,2897
"2019-01-21","Foreign","NLD",367041.17,4842
"2019-01-21","Foreign","RUS",689012.57,3923
"2019-01-21","Foreign","RoW",5271337.14000002,46171
"2019-01-21","Foreign","USA",1971191.63,15455
"2019-01-22","Domestic","CHE",107846056.25,2157101
"2019-01-22","Foreign","AUT",247497.79,3136
"2019-01-22","Foreign","CHN",2188197.47,3900
"2019-01-22","Foreign","DEU",1607422.21,22316
"2019-01-22","Foreign","FRA",1639491.41,33156
"2019-01-22","Foreign","GBR",1837334.26,22313
"2019-01-22","Foreign","ITA",834932.02,12842
"2019-01-22","Foreign","LIE",204211.95,3058
"2019-01-22","Foreign","NLD",410260.31,4757
"2019-01-22","Foreign","RUS",569429.66,3723
"2019-01-22","Foreign","RoW",5416979.85000002,44339
"2019-01-22","Foreign","USA",1782511.99,13625
"2019-01-23","Domestic","CHE",114928703.31,2250699
"2019-01-23","Foreign","AUT",231241.68,3261
"2019-01-23","Foreign","CHN",2570175.23,4542
"2019-01-23","Foreign","DEU",1881717.63,24014
"2019-01-23","Foreign","FRA",1646833.82,34040
"2019-01-23","Foreign","GBR",2046136.9,23025
"2019-01-23","Foreign","ITA",825878.41,13200
"2019-01-23","Foreign","LIE",220547.73,3094
"2019-01-23","Foreign","NLD",390288.53,5117
"2019-01-23","Foreign","RUS",608517.59,4050
"2019-01-23","Foreign","RoW",5638932.57000001,47676
"2019-01-23","Foreign","USA",1721587.5,13786
"2019-01-24","Domestic","CHE",120344718.61,2316921
"2019-01-24","Foreign","AUT",317874.16,3302
"2019-01-24","Foreign","CHN",2913454.28,5105
"2019-01-24","Foreign","DEU",2046611.62,24048
"2019-01-24","Foreign","FRA",1809847.35,36873
"2019-01-24","Foreign","GBR",2353237.98,25183
"2019-01-24","Foreign","ITA",920067.750000002,13369
"2019-01-24","Foreign","LIE",216759.83,3063
"2019-01-24","Foreign","NLD",481858.140000001,5645
"2019-01-24","Foreign","RUS",531309.97,4092
"2019-01-24","Foreign","RoW",6890717.21000004,49990
"2019-01-24","Foreign","USA",2016531.53,14542
"2019-01-25","Domestic","CHE",163603775.04,2813410
"2019-01-25","Foreign","AUT",317565.34,2997
"2019-01-25","Foreign","CHN",2525748.48,5178
"2019-01-25","Foreign","DEU",2262209.44,25323
"2019-01-25","Foreign","FRA",1993246.8,39288
"2019-01-25","Foreign","GBR",2566394.71,26533
"2019-01-25","Foreign","ITA",1017004.79,14479
"2019-01-25","Foreign","LIE",323686.94,3990
"2019-01-25","Foreign","NLD",544032.87,6550
"2019-01-25","Foreign","RUS",588499.06,4482
"2019-01-25","Foreign","RoW",6807192.20000002,54269
"2019-01-25","Foreign","USA",2268130.16,17330
"2019-01-26","Domestic","CHE",204198093.22,2957366
"2019-01-26","Foreign","AUT",223153.84,2864
"2019-01-26","Foreign","CHN",2847408.69,5466
"2019-01-26","Foreign","DEU",2321608.03,24705
"2019-01-26","Foreign","FRA",1842923.47,31864
"2019-01-26","Foreign","GBR",2323451.36,28437
"2019-01-26","Foreign","ITA",1274116.58,17925
"2019-01-26","Foreign","LIE",466034.58,5160
"2019-01-26","Foreign","NLD",571547.320000001,6507
"2019-01-26","Foreign","RUS",625972.99,4569
"2019-01-26","Foreign","RoW",5828123.77000002,57699
"2019-01-26","Foreign","USA",1671262.02,16823
"2019-01-27","Domestic","CHE",46320053.5400001,883685
"2019-01-27","Foreign","AUT",152939.02,1940
"2019-01-27","Foreign","CHN",1459773.24,3596
"2019-01-27","Foreign","DEU",1623542.02,16940
"2019-01-27","Foreign","FRA",1113850.96,19886
"2019-01-27","Foreign","GBR",1840426.39,21819
"2019-01-27","Foreign","ITA",921361.8,12295
"2019-01-27","Foreign","LIE",59011.75,1050
"2019-01-27","Foreign","NLD",447025.19,4594
"2019-01-27","Foreign","RUS",397287.76,2841
"2019-01-27","Foreign","RoW",3905937.86999998,38544
"2019-01-27","Foreign","USA",1147593.48,12033
"2019-01-28","Domestic","CHE",117019686.58,2282101
"2019-01-28","Foreign","AUT",230648.98,2834
"2019-01-28","Foreign","CHN",2380048.24,4762
"2019-01-28","Foreign","DEU",1552419.01,20625
"2019-01-28","Foreign","FRA",1640675.66,33248
"2019-01-28","Foreign","GBR",2466317.03,25948
"2019-01-28","Foreign","ITA",766464.580000001,12377
"2019-01-28","Foreign","LIE",208116.7,3083
"2019-01-28","Foreign","NLD",392621.9,4922
"2019-01-28","Foreign","RUS",553706.549999999,3507
"2019-01-28","Foreign","RoW",5682496.55000003,46082
"2019-01-28","Foreign","USA",1483589.64,12480
"2019-01-29","Domestic","CHE",116664392.26,2284648
"2019-01-29","Foreign","AUT",230489.83,2989
"2019-01-29","Foreign","CHN",2301622.62,4087
"2019-01-29","Foreign","DEU",1646447.39,21228
"2019-01-29","Foreign","FRA",1686327.08,32809
"2019-01-29","Foreign","GBR",2011053.73,21857
"2019-01-29","Foreign","ITA",785687.06,12379
"2019-01-29","Foreign","LIE",197492.6,3009
"2019-01-29","Foreign","NLD",411604.74,4683
"2019-01-29","Foreign","RUS",449602.31,3272
"2019-01-29","Foreign","RoW",5312867.46000001,43091
"2019-01-29","Foreign","USA",1475062.01,11307
"2019-01-30","Domestic","CHE",124145290.78,2368174
"2019-01-30","Foreign","AUT",241940.97,3080
"2019-01-30","Foreign","CHN",2740115.94,4652
"2019-01-30","Foreign","DEU",1815213.39,22708
"2019-01-30","Foreign","FRA",1728499.6,32707
"2019-01-30","Foreign","GBR",2179428.01,23026
"2019-01-30","Foreign","ITA",778517.089999999,11830
"2019-01-30","Foreign","LIE",224080.47,3203
"2019-01-30","Foreign","NLD",392532.62,4834
"2019-01-30","Foreign","RUS",541264.2,3628
"2019-01-30","Foreign","RoW",5567646.27000005,44939
"2019-01-30","Foreign","USA",1520308.47,11567
"2019-01-31","Domestic","CHE",131045640.09,2446052
"2019-01-31","Foreign","AUT",288134.86,3443
"2019-01-31","Foreign","CHN",2526192.53,4896
"2019-01-31","Foreign","DEU",2026580.68,23528
"2019-01-31","Foreign","FRA",1898834.76,36125
"2019-01-31","Foreign","GBR",2281133.62,24128
"2019-01-31","Foreign","ITA",863597.96,13414
"2019-01-31","Foreign","LIE",242027.4,3279
"2019-01-31","Foreign","NLD",567437.43,6333
"2019-01-31","Foreign","RUS",509998.77,3674
"2019-01-31","Foreign","RoW",6484742.80000003,48434
"2019-01-31","Foreign","USA",1724559.31,12722
"2019-02-01","Domestic","CHE",155023484.41,2707567
"2019-02-01","Foreign","AUT",292819.3,3272
"2019-02-01","Foreign","CHN",2388929.41,5027
"2019-02-01","Foreign","DEU",2272636.54,24838
"2019-02-01","Foreign","FRA",2081790.21,38148
"2019-02-01","Foreign","GBR",2879549.55,25494
"2019-02-01","Foreign","ITA",936036.439999999,11318
"2019-02-01","Foreign","LIE",334724.46,4097
"2019-02-01","Foreign","NLD",563339.77,6115
"2019-02-01","Foreign","RUS",629278.1,4094
"2019-02-01","Foreign","RoW",6127152.45000004,50766
"2019-02-01","Foreign","USA",2590446.78,15339
"2019-02-02","Domestic","CHE",199797537.16,2922862
"2019-02-02","Foreign","AUT",258160.42,3231
"2019-02-02","Foreign","CHN",4717970.91,5848
"2019-02-02","Foreign","DEU",2449483.36,28097
"2019-02-02","Foreign","FRA",2005450.99,33054
"2019-02-02","Foreign","GBR",2425777.9,30673
"2019-02-02","Foreign","ITA",1246935.36,15421
"2019-02-02","Foreign","LIE",511921.17,5555
"2019-02-02","Foreign","NLD",547155.45,6891
"2019-02-02","Foreign","RUS",547554.13,4531
"2019-02-02","Foreign","RoW",5599797.99000002,59667
"2019-02-02","Foreign","USA",1709394.64,16205
"2019-02-03","Domestic","CHE",44352719.6199999,856278
"2019-02-03","Foreign","AUT",157315.05,2129
"2019-02-03","Foreign","CHN",3242801.02,4614
"2019-02-03","Foreign","DEU",1931160.32,18806
"2019-02-03","Foreign","FRA",1149191.11,20465
"2019-02-03","Foreign","GBR",1894103.85,22368
"2019-02-03","Foreign","ITA",996120.84,12911
"2019-02-03","Foreign","LIE",60110.48,1013
"2019-02-03","Foreign","NLD",443493.44,4751
"2019-02-03","Foreign","RUS",468758.82,3175
"2019-02-03","Foreign","RoW",4061294.89999999,39619
"2019-02-03","Foreign","USA",1183947.83,11744
"2019-02-04","Domestic","CHE",115678509.45,2249337
"2019-02-04","Foreign","AUT",244371.52,2988
"2019-02-04","Foreign","CHN",3712464.51,6125
"2019-02-04","Foreign","DEU",1938357.1,22709
"2019-02-04","Foreign","FRA",1919110.35,35195
"2019-02-04","Foreign","GBR",2081422.91,23153
"2019-02-04","Foreign","ITA",900090.69,12931
"2019-02-04","Foreign","LIE",182157.78,2851
"2019-02-04","Foreign","NLD",449467.77,5416
"2019-02-04","Foreign","RUS",532286.64,3912
"2019-02-04","Foreign","RoW",5729378.85,48062
"2019-02-04","Foreign","USA",1458470.13,11821
"2019-02-05","Domestic","CHE",113954866.25,2253345
"2019-02-05","Foreign","AUT",255084.51,3140
"2019-02-05","Foreign","CHN",4414333.68,6010
"2019-02-05","Foreign","DEU",1924449.93,23410
"2019-02-05","Foreign","FRA",1757536.95,33733
"2019-02-05","Foreign","GBR",1858199.86,21497
"2019-02-05","Foreign","ITA",801291.370000001,12729
"2019-02-05","Foreign","LIE",210351.79,2925
"2019-02-05","Foreign","NLD",386744.100000001,4989
"2019-02-05","Foreign","RUS",812308.1,3669
"2019-02-05","Foreign","RoW",5530188.14000001,43952
"2019-02-05","Foreign","USA",1408963.99,10939
"2019-02-06","Domestic","CHE",119064148.25,2323495
"2019-02-06","Foreign","AUT",301080.49,3310
"2019-02-06","Foreign","CHN",6277132.62,6681
"2019-02-06","Foreign","DEU",1928480.09999999,24561
"2019-02-06","Foreign","FRA",1820627.98,35059
"2019-02-06","Foreign","GBR",2127270.8,22605
"2019-02-06","Foreign","ITA",864224.69,13274
"2019-02-06","Foreign","LIE",224543.3,3167
"2019-02-06","Foreign","NLD",417950.259999999,5165
"2019-02-06","Foreign","RUS",462035.47,3623
"2019-02-06","Foreign","RoW",5565114.42000001,46198
"2019-02-06","Foreign","USA",1469046.88,11151
"2019-02-07","Domestic","CHE",122228301.41,2356124
"2019-02-07","Foreign","AUT",292549.38,3431
"2019-02-07","Foreign","CHN",5671770.32,7376
"2019-02-07","Foreign","DEU",2341671.25,25660
"2019-02-07","Foreign","FRA",1909226.8,35752
"2019-02-07","Foreign","GBR",2240722.73,24114
"2019-02-07","Foreign","ITA",896288.46,13369
"2019-02-07","Foreign","LIE",220553.18,3131
"2019-02-07","Foreign","NLD",481391.15,6157
"2019-02-07","Foreign","RUS",537899.54,3869
"2019-02-07","Foreign","RoW",6127134.01000002,48764
"2019-02-07","Foreign","USA",1487183.86,12341
"2019-02-08","Domestic","CHE",155133394.99,2730832
"2019-02-08","Foreign","AUT",293302.79,3308
"2019-02-08","Foreign","CHN",4828575.91,7299
"2019-02-08","Foreign","DEU",2624312.26,26906
"2019-02-08","Foreign","FRA",2168307.47,39910
"2019-02-08","Foreign","GBR",2447911.03,25719
"2019-02-08","Foreign","ITA",1044809.18,14622
"2019-02-08","Foreign","LIE",316765.35,3964
"2019-02-08","Foreign","NLD",515090.8,6125
"2019-02-08","Foreign","RUS",689786.66,4332
"2019-02-08","Foreign","RoW",7295270.55000003,54147
"2019-02-08","Foreign","USA",2101708.01,16126
"2019-02-09","Domestic","CHE",189778409.74,2835000
"2019-02-09","Foreign","AUT",276448.79,3310
"2019-02-09","Foreign","CHN",5281386.98,7637
"2019-02-09","Foreign","DEU",2700219.96,29209
"2019-02-09","Foreign","FRA",2254243.14,35838
"2019-02-09","Foreign","GBR",2146154,28978
"2019-02-09","Foreign","ITA",1334388.16,18468
"2019-02-09","Foreign","LIE",466861.49,5063
"2019-02-09","Foreign","NLD",477543.48,6469
"2019-02-09","Foreign","RUS",548242.75,4583
"2019-02-09","Foreign","RoW",6450855.28000003,58476
"2019-02-09","Foreign","USA",1500582.3,16442
"2019-02-10","Domestic","CHE",45772337.33,869650
"2019-02-10","Foreign","AUT",183185.54,2201
"2019-02-10","Foreign","CHN",3739971.69,5608
"2019-02-10","Foreign","DEU",1925827.02,19206
"2019-02-10","Foreign","FRA",1570595.23,22564
"2019-02-10","Foreign","GBR",1860986.58,22169
"2019-02-10","Foreign","ITA",1000128.34,12740
"2019-02-10","Foreign","LIE",59421.65,981
"2019-02-10","Foreign","NLD",391560.4,4491
"2019-02-10","Foreign","RUS",353096.08,3063
"2019-02-10","Foreign","RoW",4526972.91,39127
"2019-02-10","Foreign","USA",1016499.96,12282
"2019-02-11","Domestic","CHE",111184540.26,2210469
"2019-02-11","Foreign","AUT",260215.82,3245
"2019-02-11","Foreign","CHN",5009957.36,6850
"2019-02-11","Foreign","DEU",1719882.24,22186
"2019-02-11","Foreign","FRA",1999880.69,36885
"2019-02-11","Foreign","GBR",1907141.67,23714
"2019-02-11","Foreign","ITA",868480.099999999,12673
"2019-02-11","Foreign","LIE",169948.65,2788
"2019-02-11","Foreign","NLD",381317.5,4728
"2019-02-11","Foreign","RUS",551744.26,3648
"2019-02-11","Foreign","RoW",6215928.30000004,46535
