"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2020-02-29","Municipality: core","Retail: Food, beverage, tobacco",6392626.7,114372
"2020-02-29","Municipality: core","Retail: Fuel stations",783110.87,17688
"2020-02-29","Municipality: core","Retail: Other goods",4737307.28000001,46007
"2020-02-29","Municipality: core","Transport services",368062.64,4823
"2020-02-29","Municipality: multiorientated","Accommodation",168753.66,1046
"2020-02-29","Municipality: multiorientated","Food and beverage services",457737.16,5052
"2020-02-29","Municipality: multiorientated","Other",383150.92,4325
"2020-02-29","Municipality: multiorientated","Retail: Food, beverage, tobacco",4572426.48,71621
"2020-02-29","Municipality: multiorientated","Retail: Fuel stations",1036386.21,22103
"2020-02-29","Municipality: multiorientated","Retail: Other goods",3612507.24,32350
"2020-02-29","Municipality: multiorientated","Transport services",33924.5,758
"2020-02-29","Municipality: rural","Accommodation",6785794.89,21207
"2020-02-29","Municipality: rural","Food and beverage services",2317277.65,34950
"2020-02-29","Municipality: rural","Other",1050515.41,8743
"2020-02-29","Municipality: rural","Retail: Food, beverage, tobacco",9769439.36,164581
"2020-02-29","Municipality: rural","Retail: Fuel stations",1998823.62,40668
"2020-02-29","Municipality: rural","Retail: Other goods",6334112.13999999,55119
"2020-02-29","Municipality: rural","Transport services",2812352.8,30297
"2020-02-29","Principle core: city","Accommodation",2688276.09,14911
"2020-02-29","Principle core: city","Food and beverage services",7851324.96,168535
"2020-02-29","Principle core: city","Other",5197497.88,51690
"2020-02-29","Principle core: city","Retail: Food, beverage, tobacco",31555062.64,718018
"2020-02-29","Principle core: city","Retail: Fuel stations",2803300.87,71694
"2020-02-29","Principle core: city","Retail: Other goods",34422817.71,338652
"2020-02-29","Principle core: city","Transport services",565729.65,47883
"2020-02-29","Principle core: other","Accommodation",598899.849999999,3557
"2020-02-29","Principle core: other","Food and beverage services",2262224.94,53617
"2020-02-29","Principle core: other","Other",2461777.84,22902
"2020-02-29","Principle core: other","Retail: Food, beverage, tobacco",24370131.32,393876
"2020-02-29","Principle core: other","Retail: Fuel stations",2894681.97,69957
"2020-02-29","Principle core: other","Retail: Other goods",18753393.08,182355
"2020-02-29","Principle core: other","Transport services",402920.8,21771
"2020-02-29","Secondary core","Accommodation",192487.55,1058
"2020-02-29","Secondary core","Food and beverage services",676197.96,14116
"2020-02-29","Secondary core","Other",816118.43,8173
"2020-02-29","Secondary core","Retail: Food, beverage, tobacco",8082827.61,132708
"2020-02-29","Secondary core","Retail: Fuel stations",1086904.61,25666
"2020-02-29","Secondary core","Retail: Other goods",7288451.16,70143
"2020-02-29","Secondary core","Transport services",23504.12,4447
"2020-03-01","9999","Food and beverage services",3532.15,106
"2020-03-01","9999","Retail: Food, beverage, tobacco",284.55,11
"2020-03-01","9999","Retail: Fuel stations",29129.49,818
"2020-03-01","9999","Retail: Other goods",2473.7,21
"2020-03-01","Commuting zone","Accommodation",426378.31,2556
"2020-03-01","Commuting zone","Food and beverage services",698243.94,10006
"2020-03-01","Commuting zone","Other",186010.56,2717
"2020-03-01","Commuting zone","Retail: Food, beverage, tobacco",497665.49,17183
"2020-03-01","Commuting zone","Retail: Fuel stations",1521654.48,37603
"2020-03-01","Commuting zone","Retail: Other goods",124864.41,1115
"2020-03-01","Commuting zone","Transport services",416444.04,3983
"2020-03-01","Municipality: core","Accommodation",2063274.4,5332
"2020-03-01","Municipality: core","Food and beverage services",674053.77,10704
"2020-03-01","Municipality: core","Other",203957.32,2402
"2020-03-01","Municipality: core","Retail: Food, beverage, tobacco",539394.93,31082
"2020-03-01","Municipality: core","Retail: Fuel stations",684407.87,17613
"2020-03-01","Municipality: core","Retail: Other goods",815421.42,5543
"2020-03-01","Municipality: core","Transport services",349207.03,3626
"2020-03-01","Municipality: multiorientated","Accommodation",228697.41,1146
"2020-03-01","Municipality: multiorientated","Food and beverage services",403975.35,4576
"2020-03-01","Municipality: multiorientated","Other",141972.15,2471
"2020-03-01","Municipality: multiorientated","Retail: Food, beverage, tobacco",194924.65,6099
"2020-03-01","Municipality: multiorientated","Retail: Fuel stations",862738.01,21179
"2020-03-01","Municipality: multiorientated","Retail: Other goods",47415,474
"2020-03-01","Municipality: multiorientated","Transport services",34557,813
"2020-03-01","Municipality: rural","Accommodation",5082377.43,18255
"2020-03-01","Municipality: rural","Food and beverage services",1663648.85,28219
"2020-03-01","Municipality: rural","Other",620918.34,5382
"2020-03-01","Municipality: rural","Retail: Food, beverage, tobacco",1190763.66,34531
"2020-03-01","Municipality: rural","Retail: Fuel stations",1728800.84,38665
"2020-03-01","Municipality: rural","Retail: Other goods",1366290.05,10581
"2020-03-01","Municipality: rural","Transport services",3027789.36,29467
"2020-03-01","Principle core: city","Accommodation",2245156.63,12984
"2020-03-01","Principle core: city","Food and beverage services",4576941.73,108664
"2020-03-01","Principle core: city","Other",1393514.81,22772
"2020-03-01","Principle core: city","Retail: Food, beverage, tobacco",2590901.06,153647
"2020-03-01","Principle core: city","Retail: Fuel stations",2521416.99,76577
"2020-03-01","Principle core: city","Retail: Other goods",1429202.2,21352
"2020-03-01","Principle core: city","Transport services",295791.52,23616
"2020-03-01","Principle core: other","Accommodation",519560.38,3031
"2020-03-01","Principle core: other","Food and beverage services",1486390.44,38125
"2020-03-01","Principle core: other","Other",725756.36,10068
"2020-03-01","Principle core: other","Retail: Food, beverage, tobacco",799931.19,38049
"2020-03-01","Principle core: other","Retail: Fuel stations",2530144.97,73345
"2020-03-01","Principle core: other","Retail: Other goods",1111409.92,15857
"2020-03-01","Principle core: other","Transport services",380915.5,15389
"2020-03-01","Secondary core","Accommodation",184796.94,1265
"2020-03-01","Secondary core","Food and beverage services",409633.7,7523
"2020-03-01","Secondary core","Other",246980.15,3962
"2020-03-01","Secondary core","Retail: Food, beverage, tobacco",270862.3,13436
"2020-03-01","Secondary core","Retail: Fuel stations",959725.320000001,27205
"2020-03-01","Secondary core","Retail: Other goods",191738.2,1055
"2020-03-01","Secondary core","Transport services",9988.75,921
"2020-03-02","9999","Food and beverage services",5220.5,546
"2020-03-02","9999","Retail: Food, beverage, tobacco",1131.2,39
"2020-03-02","9999","Retail: Fuel stations",23949.75,615
"2020-03-02","9999","Retail: Other goods",1997.9,18
"2020-03-02","Commuting zone","Accommodation",186271.4,1430
"2020-03-02","Commuting zone","Food and beverage services",292929.82,7831
"2020-03-02","Commuting zone","Other",805229.24,4319
"2020-03-02","Commuting zone","Retail: Food, beverage, tobacco",4303753.58,99940
"2020-03-02","Commuting zone","Retail: Fuel stations",1517114.61,33913
"2020-03-02","Commuting zone","Retail: Other goods",2193322.92,24909
"2020-03-02","Commuting zone","Transport services",130478.17,1495
"2020-03-02","Municipality: core","Accommodation",925247.41,2418
"2020-03-02","Municipality: core","Food and beverage services",397970.04,9213
"2020-03-02","Municipality: core","Other",409283.23,2775
"2020-03-02","Municipality: core","Retail: Food, beverage, tobacco",3246449.89,88914
"2020-03-02","Municipality: core","Retail: Fuel stations",618228.06,14840
"2020-03-02","Municipality: core","Retail: Other goods",2565966.65,26114
"2020-03-02","Municipality: core","Transport services",108141.44,1527
"2020-03-02","Municipality: multiorientated","Accommodation",72436.47,502
"2020-03-02","Municipality: multiorientated","Food and beverage services",119575.25,2561
"2020-03-02","Municipality: multiorientated","Other",291039.6,2640
"2020-03-02","Municipality: multiorientated","Retail: Food, beverage, tobacco",2376131.5,51826
"2020-03-02","Municipality: multiorientated","Retail: Fuel stations",833258.5,18373
"2020-03-02","Municipality: multiorientated","Retail: Other goods",1824390.68,16833
"2020-03-02","Municipality: multiorientated","Transport services",5663.3,267
"2020-03-02","Municipality: rural","Accommodation",1722677.96,6862
"2020-03-02","Municipality: rural","Food and beverage services",613889.4,12807
"2020-03-02","Municipality: rural","Other",738533.96,5385
"2020-03-02","Municipality: rural","Retail: Food, beverage, tobacco",5328311.23,115643
"2020-03-02","Municipality: rural","Retail: Fuel stations",1537884.68,31952
"2020-03-02","Municipality: rural","Retail: Other goods",3380118.29,31661
"2020-03-02","Municipality: rural","Transport services",778855.52,6782
"2020-03-02","Principle core: city","Accommodation",1838570.19,10804
"2020-03-02","Principle core: city","Food and beverage services",4414624.29,190143
"2020-03-02","Principle core: city","Other",4788993.03,35085
"2020-03-02","Principle core: city","Retail: Food, beverage, tobacco",17933125.56,686840
"2020-03-02","Principle core: city","Retail: Fuel stations",2264883.13,64645
"2020-03-02","Principle core: city","Retail: Other goods",16942298.95,194077
"2020-03-02","Principle core: city","Transport services",674237.91,42685
"2020-03-02","Principle core: other","Accommodation",495399.93,3239
"2020-03-02","Principle core: other","Food and beverage services",1502232.06,72225
"2020-03-02","Principle core: other","Other",2617973.5,17736
"2020-03-02","Principle core: other","Retail: Food, beverage, tobacco",11626460.07,295397
"2020-03-02","Principle core: other","Retail: Fuel stations",2398958.04,64053
"2020-03-02","Principle core: other","Retail: Other goods",9412158.83,104394
"2020-03-02","Principle core: other","Transport services",372925.76,20801
"2020-03-02","Secondary core","Accommodation",112391.95,916
"2020-03-02","Secondary core","Food and beverage services",358416.99,13372
"2020-03-02","Secondary core","Other",799986.13,5810
"2020-03-02","Secondary core","Retail: Food, beverage, tobacco",3906702.69,95694
"2020-03-02","Secondary core","Retail: Fuel stations",870216.77,22099
"2020-03-02","Secondary core","Retail: Other goods",3658814.63,38852
"2020-03-02","Secondary core","Transport services",25623.05,2776
"2020-03-03","9999","Food and beverage services",5829.6,556
"2020-03-03","9999","Retail: Food, beverage, tobacco",729.95,24
"2020-03-03","9999","Retail: Fuel stations",22856.06,611
"2020-03-03","9999","Retail: Other goods",1308,13
"2020-03-03","Commuting zone","Accommodation",242237.1,1697
"2020-03-03","Commuting zone","Food and beverage services",399025.81,9533
"2020-03-03","Commuting zone","Other",959104.22,5037
"2020-03-03","Commuting zone","Retail: Food, beverage, tobacco",3793586.1,94539
"2020-03-03","Commuting zone","Retail: Fuel stations",1525123.6,35113
"2020-03-03","Commuting zone","Retail: Other goods",2122840.8,24458
"2020-03-03","Commuting zone","Transport services",131050.95,2114
"2020-03-03","Municipality: core","Accommodation",630730.61,2522
"2020-03-03","Municipality: core","Food and beverage services",455765.87,10456
"2020-03-03","Municipality: core","Other",540729.14,3452
"2020-03-03","Municipality: core","Retail: Food, beverage, tobacco",2945149.55,85773
"2020-03-03","Municipality: core","Retail: Fuel stations",622800.22,15219
"2020-03-03","Municipality: core","Retail: Other goods",2426646.52,24961
"2020-03-03","Municipality: core","Transport services",113652.48,1776
"2020-03-03","Municipality: multiorientated","Accommodation",85154.97,613
"2020-03-03","Municipality: multiorientated","Food and beverage services",153442.25,3128
"2020-03-03","Municipality: multiorientated","Other",332925.17,3044
"2020-03-03","Municipality: multiorientated","Retail: Food, beverage, tobacco",2078643.2,48819
"2020-03-03","Municipality: multiorientated","Retail: Fuel stations",865107.55,19299
"2020-03-03","Municipality: multiorientated","Retail: Other goods",1645032.69,15903
"2020-03-03","Municipality: multiorientated","Transport services",7584.35,265
"2020-03-03","Municipality: rural","Accommodation",1262548.45,6911
"2020-03-03","Municipality: rural","Food and beverage services",739833.88,15788
"2020-03-03","Municipality: rural","Other",752036.76,5639
"2020-03-03","Municipality: rural","Retail: Food, beverage, tobacco",4615071.18,107180
"2020-03-03","Municipality: rural","Retail: Fuel stations",1551741.04,32607
"2020-03-03","Municipality: rural","Retail: Other goods",3129470.82,30491
"2020-03-03","Municipality: rural","Transport services",842158.88,9438
"2020-03-03","Principle core: city","Accommodation",1880172.5,12074
"2020-03-03","Principle core: city","Food and beverage services",5642384.27999999,218060
"2020-03-03","Principle core: city","Other",5660016.41,41521
"2020-03-03","Principle core: city","Retail: Food, beverage, tobacco",16862309.38,696505
"2020-03-03","Principle core: city","Retail: Fuel stations",2355422.04,68024
"2020-03-03","Principle core: city","Retail: Other goods",18829221.99,208305
"2020-03-03","Principle core: city","Transport services",688998.6,46424
"2020-03-03","Principle core: other","Accommodation",482295.31,3738
"2020-03-03","Principle core: other","Food and beverage services",1761248.74,73699
"2020-03-03","Principle core: other","Other",2765430.78,18479
"2020-03-03","Principle core: other","Retail: Food, beverage, tobacco",10313137.66,281107
"2020-03-03","Principle core: other","Retail: Fuel stations",2474156.74,67098
"2020-03-03","Principle core: other","Retail: Other goods",9041563.54999999,97230
"2020-03-03","Principle core: other","Transport services",345215.07,19790
"2020-03-03","Secondary core","Accommodation",129151.63,1088
"2020-03-03","Secondary core","Food and beverage services",440130.86,15362
"2020-03-03","Secondary core","Other",913032.92,6560
"2020-03-03","Secondary core","Retail: Food, beverage, tobacco",3468552.52,92067
"2020-03-03","Secondary core","Retail: Fuel stations",898412.1,23290
"2020-03-03","Secondary core","Retail: Other goods",3369243.69,36839
"2020-03-03","Secondary core","Transport services",21695.95,2649
"2020-03-04","9999","Food and beverage services",5619.25,520
"2020-03-04","9999","Retail: Food, beverage, tobacco",1380.25,51
"2020-03-04","9999","Retail: Fuel stations",24451.61,652
"2020-03-04","9999","Retail: Other goods",227.6,2
"2020-03-04","Commuting zone","Accommodation",235949.08,1890
"2020-03-04","Commuting zone","Food and beverage services",505374.02,10749
"2020-03-04","Commuting zone","Other",897463.03,5333
"2020-03-04","Commuting zone","Retail: Food, beverage, tobacco",3893544.03,96618
"2020-03-04","Commuting zone","Retail: Fuel stations",1609598.31,36727
"2020-03-04","Commuting zone","Retail: Other goods",2214908.99,26794
"2020-03-04","Commuting zone","Transport services",141709.34,2330
"2020-03-04","Municipality: core","Accommodation",692747.14,2472
"2020-03-04","Municipality: core","Food and beverage services",529200.53,11142
"2020-03-04","Municipality: core","Other",501454.81,3443
"2020-03-04","Municipality: core","Retail: Food, beverage, tobacco",2914139.21,86635
"2020-03-04","Municipality: core","Retail: Fuel stations",654139.68,16060
"2020-03-04","Municipality: core","Retail: Other goods",2589858.84,26884
"2020-03-04","Municipality: core","Transport services",222548.95,2972
"2020-03-04","Municipality: multiorientated","Accommodation",108537.2,764
"2020-03-04","Municipality: multiorientated","Food and beverage services",229981.72,3879
"2020-03-04","Municipality: multiorientated","Other",345768.99,3254
"2020-03-04","Municipality: multiorientated","Retail: Food, beverage, tobacco",2163682.06,50261
"2020-03-04","Municipality: multiorientated","Retail: Fuel stations",903658,20269
"2020-03-04","Municipality: multiorientated","Retail: Other goods",1736991.64,17114
"2020-03-04","Municipality: multiorientated","Transport services",12830.67,400
"2020-03-04","Municipality: rural","Accommodation",1760463.64,8534
"2020-03-04","Municipality: rural","Food and beverage services",1004838,19939
"2020-03-04","Municipality: rural","Other",743837.19,5618
"2020-03-04","Municipality: rural","Retail: Food, beverage, tobacco",4509796.74000001,107124
"2020-03-04","Municipality: rural","Retail: Fuel stations",1656875.12,34848
"2020-03-04","Municipality: rural","Retail: Other goods",3192998.75,31847
"2020-03-04","Municipality: rural","Transport services",1100918.27,14680
"2020-03-04","Principle core: city","Accommodation",2189562.61,13200
"2020-03-04","Principle core: city","Food and beverage services",6040716.80999999,223474
"2020-03-04","Principle core: city","Other",5731462.31,42914
"2020-03-04","Principle core: city","Retail: Food, beverage, tobacco",17146376.55,690360
"2020-03-04","Principle core: city","Retail: Fuel stations",2422753.29,70466
"2020-03-04","Principle core: city","Retail: Other goods",19844131.37,222887
"2020-03-04","Principle core: city","Transport services",666540.169999999,47662
"2020-03-04","Principle core: other","Accommodation",477754.54,3929
"2020-03-04","Principle core: other","Food and beverage services",1926547.8,76801
"2020-03-04","Principle core: other","Other",3061713.18,19915
"2020-03-04","Principle core: other","Retail: Food, beverage, tobacco",10677667.96,286308
"2020-03-04","Principle core: other","Retail: Fuel stations",2579389.48,69994
"2020-03-04","Principle core: other","Retail: Other goods",9733526.68999999,106575
"2020-03-04","Principle core: other","Transport services",344085.16,20556
"2020-03-04","Secondary core","Accommodation",161156.71,1181
"2020-03-04","Secondary core","Food and beverage services",462972.46,15624
"2020-03-04","Secondary core","Other",874098.51,6578
"2020-03-04","Secondary core","Retail: Food, beverage, tobacco",3468229.5,91031
"2020-03-04","Secondary core","Retail: Fuel stations",925007.93,24245
"2020-03-04","Secondary core","Retail: Other goods",3540725.05,39367
"2020-03-04","Secondary core","Transport services",20203.1,2667
"2020-03-05","9999","Food and beverage services",7036.95,628
"2020-03-05","9999","Retail: Food, beverage, tobacco",1148.9,42
"2020-03-05","9999","Retail: Fuel stations",25436.76,654
"2020-03-05","9999","Retail: Other goods",807.9,6
"2020-03-05","Commuting zone","Accommodation",253720.95,1860
"2020-03-05","Commuting zone","Food and beverage services",551582.78,11065
"2020-03-05","Commuting zone","Other",871130.69,4857
"2020-03-05","Commuting zone","Retail: Food, beverage, tobacco",4062200.55,94888
"2020-03-05","Commuting zone","Retail: Fuel stations",1569271.45,35193
"2020-03-05","Commuting zone","Retail: Other goods",2113573.32,24350
"2020-03-05","Commuting zone","Transport services",67853.71,1074
"2020-03-05","Municipality: core","Accommodation",1050884.98,2758
"2020-03-05","Municipality: core","Food and beverage services",526689.96,10564
"2020-03-05","Municipality: core","Other",506536.91,3499
"2020-03-05","Municipality: core","Retail: Food, beverage, tobacco",3400118.88,90522
"2020-03-05","Municipality: core","Retail: Fuel stations",635199.41,15647
"2020-03-05","Municipality: core","Retail: Other goods",2580292.57,26707
"2020-03-05","Municipality: core","Transport services",70247.33,1368
"2020-03-05","Municipality: multiorientated","Accommodation",89265.78,642
"2020-03-05","Municipality: multiorientated","Food and beverage services",231176.6,3852
"2020-03-05","Municipality: multiorientated","Other",362851.52,3070
"2020-03-05","Municipality: multiorientated","Retail: Food, beverage, tobacco",2231068.22,49111
"2020-03-05","Municipality: multiorientated","Retail: Fuel stations",866596.28,19120
"2020-03-05","Municipality: multiorientated","Retail: Other goods",1659223.78,16447
"2020-03-05","Municipality: multiorientated","Transport services",6057.25,216
"2020-03-05","Municipality: rural","Accommodation",1927340.09,8647
"2020-03-05","Municipality: rural","Food and beverage services",876886.44,15424
"2020-03-05","Municipality: rural","Other",789745.84,6088
"2020-03-05","Municipality: rural","Retail: Food, beverage, tobacco",5008414.97,109268
"2020-03-05","Municipality: rural","Retail: Fuel stations",1579783.81,33241
"2020-03-05","Municipality: rural","Retail: Other goods",3307204.32,31694
"2020-03-05","Municipality: rural","Transport services",509091,5852
"2020-03-05","Principle core: city","Accommodation",2234096.72,13740
"2020-03-05","Principle core: city","Food and beverage services",6467248.97999999,237279
"2020-03-05","Principle core: city","Other",5564164.22,42839
"2020-03-05","Principle core: city","Retail: Food, beverage, tobacco",17406792.37,674414
"2020-03-05","Principle core: city","Retail: Fuel stations",2403348.89,68911
"2020-03-05","Principle core: city","Retail: Other goods",19055664.52,202862
"2020-03-05","Principle core: city","Transport services",665860.94,50855
"2020-03-05","Principle core: other","Accommodation",593265.44,4068
"2020-03-05","Principle core: other","Food and beverage services",2053223.85,79696
"2020-03-05","Principle core: other","Other",2842696.59,18960
"2020-03-05","Principle core: other","Retail: Food, beverage, tobacco",11227546.99,280709
"2020-03-05","Principle core: other","Retail: Fuel stations",2513140.24,67241
"2020-03-05","Principle core: other","Retail: Other goods",9222406.58,100387
"2020-03-05","Principle core: other","Transport services",352793.9,21387
"2020-03-05","Secondary core","Accommodation",155091.84,1125
"2020-03-05","Secondary core","Food and beverage services",491199.53,16773
"2020-03-05","Secondary core","Other",911222.45,6451
"2020-03-05","Secondary core","Retail: Food, beverage, tobacco",3645259.53,89341
"2020-03-05","Secondary core","Retail: Fuel stations",910082.58,23604
"2020-03-05","Secondary core","Retail: Other goods",3288681.09,35705
"2020-03-05","Secondary core","Transport services",23595.05,2797
"2020-03-06","9999","Food and beverage services",6760.3,528
"2020-03-06","9999","Retail: Food, beverage, tobacco",1760.3,49
"2020-03-06","9999","Retail: Fuel stations",28487.91,739
"2020-03-06","9999","Retail: Other goods",1324,9
"2020-03-06","Commuting zone","Accommodation",385623.77,2485
"2020-03-06","Commuting zone","Food and beverage services",860743.14,13735
"2020-03-06","Commuting zone","Other",1160523.01,6373
"2020-03-06","Commuting zone","Retail: Food, beverage, tobacco",6013932.41,118836
"2020-03-06","Commuting zone","Retail: Fuel stations",1856891.21,41450
"2020-03-06","Commuting zone","Retail: Other goods",2730617.62,30853
"2020-03-06","Commuting zone","Transport services",185555.76,2724
"2020-03-06","Municipality: core","Accommodation",1505240.63,4087
"2020-03-06","Municipality: core","Food and beverage services",852307.86,14970
"2020-03-06","Municipality: core","Other",587096.55,3904
"2020-03-06","Municipality: core","Retail: Food, beverage, tobacco",4858654.16,108067
"2020-03-06","Municipality: core","Retail: Fuel stations",741150.85,17904
"2020-03-06","Municipality: core","Retail: Other goods",3211565.18,33060
"2020-03-06","Municipality: core","Transport services",214787.96,2921
"2020-03-06","Municipality: multiorientated","Accommodation",159463.65,904
"2020-03-06","Municipality: multiorientated","Food and beverage services",350125.22,4877
"2020-03-06","Municipality: multiorientated","Other",452013.86,3665
"2020-03-06","Municipality: multiorientated","Retail: Food, beverage, tobacco",3268152.44,61518
"2020-03-06","Municipality: multiorientated","Retail: Fuel stations",1013395.44,22421
"2020-03-06","Municipality: multiorientated","Retail: Other goods",2054724.36,20714
"2020-03-06","Municipality: multiorientated","Transport services",9048.5,240
"2020-03-06","Municipality: rural","Accommodation",3173493.94,12924
"2020-03-06","Municipality: rural","Food and beverage services",1553475.41,25107
"2020-03-06","Municipality: rural","Other",949489.47,7100
"2020-03-06","Municipality: rural","Retail: Food, beverage, tobacco",6893612.47,134823
"2020-03-06","Municipality: rural","Retail: Fuel stations",1881784.93,39334
"2020-03-06","Municipality: rural","Retail: Other goods",4234430.38,39593
"2020-03-06","Municipality: rural","Transport services",1377731.59,14608
"2020-03-06","Principle core: city","Accommodation",2593617.5,15257
"2020-03-06","Principle core: city","Food and beverage services",8275797.90999999,253597
"2020-03-06","Principle core: city","Other",6450981.7,50178
"2020-03-06","Principle core: city","Retail: Food, beverage, tobacco",23371641,765154
"2020-03-06","Principle core: city","Retail: Fuel stations",2869539.1,78835
"2020-03-06","Principle core: city","Retail: Other goods",23546498.17,247182
"2020-03-06","Principle core: city","Transport services",693639.93,49766
"2020-03-06","Principle core: other","Accommodation",633509.45,4132
"2020-03-06","Principle core: other","Food and beverage services",2519197.82,82872
"2020-03-06","Principle core: other","Other",3659539.46,22131
"2020-03-06","Principle core: other","Retail: Food, beverage, tobacco",16933960.22,351341
"2020-03-06","Principle core: other","Retail: Fuel stations",2977675.04,77582
"2020-03-06","Principle core: other","Retail: Other goods",11396006.95,125870
"2020-03-06","Principle core: other","Transport services",372149.48,22312
"2020-03-06","Secondary core","Accommodation",191104.74,1304
"2020-03-06","Secondary core","Food and beverage services",668562.63,18477
"2020-03-06","Secondary core","Other",1104918.89,7773
"2020-03-06","Secondary core","Retail: Food, beverage, tobacco",5590898.73,114038
"2020-03-06","Secondary core","Retail: Fuel stations",1073453.32,27127
"2020-03-06","Secondary core","Retail: Other goods",4164599.15,44624
"2020-03-06","Secondary core","Transport services",19362.66,3036
"2020-03-07","9999","Food and beverage services",4207.1,130
"2020-03-07","9999","Retail: Food, beverage, tobacco",2387.5,60
"2020-03-07","9999","Retail: Fuel stations",29584.53,726
"2020-03-07","9999","Retail: Other goods",2434.7,15
"2020-03-07","Commuting zone","Accommodation",393765.17,2699
"2020-03-07","Commuting zone","Food and beverage services",975755.920000001,13000
"2020-03-07","Commuting zone","Other",773327.46,6819
"2020-03-07","Commuting zone","Retail: Food, beverage, tobacco",7526119.24,135664
"2020-03-07","Commuting zone","Retail: Fuel stations",1766701.9,38691
"2020-03-07","Commuting zone","Retail: Other goods",4250548.34,45182
"2020-03-07","Commuting zone","Transport services",452587.32,5429
"2020-03-07","Municipality: core","Accommodation",1755242.65,5156
"2020-03-07","Municipality: core","Food and beverage services",1134575,16290
"2020-03-07","Municipality: core","Other",511149.96,3995
"2020-03-07","Municipality: core","Retail: Food, beverage, tobacco",5639649.74,110494
"2020-03-07","Municipality: core","Retail: Fuel stations",737995.9,17103
"2020-03-07","Municipality: core","Retail: Other goods",4831218.07,46851
"2020-03-07","Municipality: core","Transport services",344097.59,4133
"2020-03-07","Municipality: multiorientated","Accommodation",158216.26,1005
"2020-03-07","Municipality: multiorientated","Food and beverage services",460492.91,5069
"2020-03-07","Municipality: multiorientated","Other",354050.84,3959
"2020-03-07","Municipality: multiorientated","Retail: Food, beverage, tobacco",4068788.28,69333
"2020-03-07","Municipality: multiorientated","Retail: Fuel stations",1006614.82,21589
"2020-03-07","Municipality: multiorientated","Retail: Other goods",3400783.5,31878
"2020-03-07","Municipality: multiorientated","Transport services",30075.95,649
"2020-03-07","Municipality: rural","Accommodation",4079660.17,19033
"2020-03-07","Municipality: rural","Food and beverage services",2177859.07,33413
"2020-03-07","Municipality: rural","Other",871403.12,7624
"2020-03-07","Municipality: rural","Retail: Food, beverage, tobacco",8363039.9,152661
"2020-03-07","Municipality: rural","Retail: Fuel stations",1883604.79,38889
"2020-03-07","Municipality: rural","Retail: Other goods",6079656.27,52871
"2020-03-07","Municipality: rural","Transport services",2575477.73,27485
"2020-03-07","Principle core: city","Accommodation",2268781.89,14104
"2020-03-07","Principle core: city","Food and beverage services",7964008.67999999,173887
"2020-03-07","Principle core: city","Other",4978147.6,50677
"2020-03-07","Principle core: city","Retail: Food, beverage, tobacco",28967956.78,714943
"2020-03-07","Principle core: city","Retail: Fuel stations",2710960.08,71471
"2020-03-07","Principle core: city","Retail: Other goods",35973154.27,346454
"2020-03-07","Principle core: city","Transport services",555829.24,48218
"2020-03-07","Principle core: other","Accommodation",513004.32,3164
"2020-03-07","Principle core: other","Food and beverage services",2301664.51,54407
"2020-03-07","Principle core: other","Other",2458329.42,22527
"2020-03-07","Principle core: other","Retail: Food, beverage, tobacco",21591562.82,382369
"2020-03-07","Principle core: other","Retail: Fuel stations",2831717.4,70262
"2020-03-07","Principle core: other","Retail: Other goods",18421925.01,184159
"2020-03-07","Principle core: other","Transport services",336691.31,20896
"2020-03-07","Secondary core","Accommodation",153465.4,1053
"2020-03-07","Secondary core","Food and beverage services",642172.84,13576
"2020-03-07","Secondary core","Other",836390.41,7769
"2020-03-07","Secondary core","Retail: Food, beverage, tobacco",7168375.46,128972
"2020-03-07","Secondary core","Retail: Fuel stations",1033109.2,25103
"2020-03-07","Secondary core","Retail: Other goods",7099757.05,70491
"2020-03-07","Secondary core","Transport services",20425.36,4373
"2020-03-08","9999","Food and beverage services",2329.8,99
"2020-03-08","9999","Retail: Food, beverage, tobacco",237.35,10
"2020-03-08","9999","Retail: Fuel stations",30656.06,892
"2020-03-08","9999","Retail: Other goods",1223.1,15
"2020-03-08","Commuting zone","Accommodation",400986.35,2719
"2020-03-08","Commuting zone","Food and beverage services",732957.47,10645
"2020-03-08","Commuting zone","Other",217023.25,2946
"2020-03-08","Commuting zone","Retail: Food, beverage, tobacco",510141.8,17942
"2020-03-08","Commuting zone","Retail: Fuel stations",1564164.29,39852
"2020-03-08","Commuting zone","Retail: Other goods",104124.4,1156
"2020-03-08","Commuting zone","Transport services",478520.15,4644
"2020-03-08","Municipality: core","Accommodation",1877869.74,4974
"2020-03-08","Municipality: core","Food and beverage services",695560.25,10817
"2020-03-08","Municipality: core","Other",132865.65,2209
"2020-03-08","Municipality: core","Retail: Food, beverage, tobacco",537074.62,31121
"2020-03-08","Municipality: core","Retail: Fuel stations",713304.51,18921
"2020-03-08","Municipality: core","Retail: Other goods",621329.24,5196
"2020-03-08","Municipality: core","Transport services",415310.82,5083
"2020-03-08","Municipality: multiorientated","Accommodation",213262.97,1165
"2020-03-08","Municipality: multiorientated","Food and beverage services",397631.56,4829
"2020-03-08","Municipality: multiorientated","Other",118610.7,2317
"2020-03-08","Municipality: multiorientated","Retail: Food, beverage, tobacco",200389.2,6246
"2020-03-08","Municipality: multiorientated","Retail: Fuel stations",908877.74,22563
"2020-03-08","Municipality: multiorientated","Retail: Other goods",41307.65,442
