"Date","Agglomeration type","Merchant category","Amount CHF","Number of transactions"
"2019-01-06","Municipality: core","Retail: Fuel stations",547129.66,12273
"2019-01-06","Municipality: core","Retail: Other goods",943196.56,4526
"2019-01-06","Municipality: core","Transport services",139118.9,1560
"2019-01-06","Municipality: multiorientated","Accommodation",156896.28,554
"2019-01-06","Municipality: multiorientated","Food and beverage services",235208.94,3070
"2019-01-06","Municipality: multiorientated","Other",121114.35,1791
"2019-01-06","Municipality: multiorientated","Retail: Food, beverage, tobacco",117545.65,3326
"2019-01-06","Municipality: multiorientated","Retail: Fuel stations",697052.06,14834
"2019-01-06","Municipality: multiorientated","Retail: Other goods",52528.54,579
"2019-01-06","Municipality: multiorientated","Transport services",19356.1,373
"2019-01-06","Municipality: rural","Accommodation",4409291.49,9993
"2019-01-06","Municipality: rural","Food and beverage services",867865.3,13213
"2019-01-06","Municipality: rural","Other",454728.21,3938
"2019-01-06","Municipality: rural","Retail: Food, beverage, tobacco",643558.82,17109
"2019-01-06","Municipality: rural","Retail: Fuel stations",1460051.77,28167
"2019-01-06","Municipality: rural","Retail: Other goods",1196748.23,8339
"2019-01-06","Municipality: rural","Transport services",1236857.9,11774
"2019-01-06","Principle core: city","Accommodation",2072014.96,9839
"2019-01-06","Principle core: city","Food and beverage services",3461752.94,84053
"2019-01-06","Principle core: city","Other",1292552.74,19069
"2019-01-06","Principle core: city","Retail: Food, beverage, tobacco",1953835.33,104043
"2019-01-06","Principle core: city","Retail: Fuel stations",2239830.54,55445
"2019-01-06","Principle core: city","Retail: Other goods",2181864.78,22205
"2019-01-06","Principle core: city","Transport services",313583.27,15688
"2019-01-06","Principle core: other","Accommodation",329797.04,2016
"2019-01-06","Principle core: other","Food and beverage services",1247070.81,36626
"2019-01-06","Principle core: other","Other",822687.15,8517
"2019-01-06","Principle core: other","Retail: Food, beverage, tobacco",683860.59,29124
"2019-01-06","Principle core: other","Retail: Fuel stations",2337767.58,54947
"2019-01-06","Principle core: other","Retail: Other goods",1106199.37,13752
"2019-01-06","Principle core: other","Transport services",363670.64,12140
"2019-01-06","Secondary core","Accommodation",87912.32,509
"2019-01-06","Secondary core","Food and beverage services",339023.55,7715
"2019-01-06","Secondary core","Other",311239.57,4147
"2019-01-06","Secondary core","Retail: Food, beverage, tobacco",242782.79,9517
"2019-01-06","Secondary core","Retail: Fuel stations",799506.53,18899
"2019-01-06","Secondary core","Retail: Other goods",73802.35,1036
"2019-01-06","Secondary core","Transport services",16527.43,523
"2019-01-07","9999","Accommodation",139.3,1
"2019-01-07","9999","Food and beverage services",6768.75,597
"2019-01-07","9999","Retail: Fuel stations",19751,493
"2019-01-07","9999","Retail: Other goods",1767.15,28
"2019-01-07","Commuting zone","Accommodation",179185.28,994
"2019-01-07","Commuting zone","Food and beverage services",226742.9,6096
"2019-01-07","Commuting zone","Other",726124.89,4086
"2019-01-07","Commuting zone","Retail: Food, beverage, tobacco",3319138.22,70544
"2019-01-07","Commuting zone","Retail: Fuel stations",1466274.45,29000
"2019-01-07","Commuting zone","Retail: Other goods",2118642.2,28358
"2019-01-07","Commuting zone","Transport services",118838.45,1139
"2019-01-07","Municipality: core","Accommodation",1164522.57,1978
"2019-01-07","Municipality: core","Food and beverage services",391122.89,7547
"2019-01-07","Municipality: core","Other",546504.51,2344
"2019-01-07","Municipality: core","Retail: Food, beverage, tobacco",2567004.36,57127
"2019-01-07","Municipality: core","Retail: Fuel stations",575801.23,12014
"2019-01-07","Municipality: core","Retail: Other goods",2473058.58,24077
"2019-01-07","Municipality: core","Transport services",144055.11,1341
"2019-01-07","Municipality: multiorientated","Accommodation",47494.21,305
"2019-01-07","Municipality: multiorientated","Food and beverage services",83124.28,2214
"2019-01-07","Municipality: multiorientated","Other",329030.6,2130
"2019-01-07","Municipality: multiorientated","Retail: Food, beverage, tobacco",1753275.76,34327
"2019-01-07","Municipality: multiorientated","Retail: Fuel stations",802033.35,15512
"2019-01-07","Municipality: multiorientated","Retail: Other goods",1726107.26,20322
"2019-01-07","Municipality: multiorientated","Transport services",8022.9,152
"2019-01-07","Municipality: rural","Accommodation",1628060.63,4800
"2019-01-07","Municipality: rural","Food and beverage services",455140.42,9375
"2019-01-07","Municipality: rural","Other",655600.43,3986
"2019-01-07","Municipality: rural","Retail: Food, beverage, tobacco",3757948.45,75908
"2019-01-07","Municipality: rural","Retail: Fuel stations",1510707.8,27631
"2019-01-07","Municipality: rural","Retail: Other goods",3061937.31,33085
"2019-01-07","Municipality: rural","Transport services",778837.13,7237
"2019-01-07","Principle core: city","Accommodation",2026386.98,22455
"2019-01-07","Principle core: city","Food and beverage services",3699597.46,142783
"2019-01-07","Principle core: city","Other",5098720.97,30824
"2019-01-07","Principle core: city","Retail: Food, beverage, tobacco",15747574.32,557616
"2019-01-07","Principle core: city","Retail: Fuel stations",2266391.01,52149
"2019-01-07","Principle core: city","Retail: Other goods",20083124.36,208323
"2019-01-07","Principle core: city","Transport services",1084873.06,33016
"2019-01-07","Principle core: other","Accommodation",418511.63,7376
"2019-01-07","Principle core: other","Food and beverage services",1316730.36,55986
"2019-01-07","Principle core: other","Other",2915262.44,15549
"2019-01-07","Principle core: other","Retail: Food, beverage, tobacco",9929343.26000001,237762
"2019-01-07","Principle core: other","Retail: Fuel stations",2368519.76,53027
"2019-01-07","Principle core: other","Retail: Other goods",9219320.93,100057
"2019-01-07","Principle core: other","Transport services",434419.6,14685
"2019-01-07","Secondary core","Accommodation",92045.74,1069
"2019-01-07","Secondary core","Food and beverage services",294282.91,10928
"2019-01-07","Secondary core","Other",836311.36,5233
"2019-01-07","Secondary core","Retail: Food, beverage, tobacco",3320119.03,76090
"2019-01-07","Secondary core","Retail: Fuel stations",861721.35,18029
"2019-01-07","Secondary core","Retail: Other goods",3386302.54,38557
"2019-01-07","Secondary core","Transport services",24242.2,1392
"2019-01-08","9999","Accommodation",409.5,2
"2019-01-08","9999","Food and beverage services",7063.75,604
"2019-01-08","9999","Retail: Fuel stations",21017.07,489
"2019-01-08","9999","Retail: Other goods",1206.4,23
"2019-01-08","Commuting zone","Accommodation",198525.46,1085
"2019-01-08","Commuting zone","Food and beverage services",292900.27,7406
"2019-01-08","Commuting zone","Other",811604.97,4473
"2019-01-08","Commuting zone","Retail: Food, beverage, tobacco",2988595.5,65078
"2019-01-08","Commuting zone","Retail: Fuel stations",1422348.63,28352
"2019-01-08","Commuting zone","Retail: Other goods",2143402.14,27779
"2019-01-08","Commuting zone","Transport services",39512.33,550
"2019-01-08","Municipality: core","Accommodation",752108.33,1775
"2019-01-08","Municipality: core","Food and beverage services",372663.46,7801
"2019-01-08","Municipality: core","Other",540871.92,2995
"2019-01-08","Municipality: core","Retail: Food, beverage, tobacco",2432120.85,54585
"2019-01-08","Municipality: core","Retail: Fuel stations",568579.71,11868
"2019-01-08","Municipality: core","Retail: Other goods",2608362.81,23804
"2019-01-08","Municipality: core","Transport services",61019.54,740
"2019-01-08","Municipality: multiorientated","Accommodation",69227.8,388
"2019-01-08","Municipality: multiorientated","Food and beverage services",116932.71,2535
"2019-01-08","Municipality: multiorientated","Other",336953.14,2338
"2019-01-08","Municipality: multiorientated","Retail: Food, beverage, tobacco",1580699.96,31412
"2019-01-08","Municipality: multiorientated","Retail: Fuel stations",796123.35,15416
"2019-01-08","Municipality: multiorientated","Retail: Other goods",1615295.55,19096
"2019-01-08","Municipality: multiorientated","Transport services",3880.05,185
"2019-01-08","Municipality: rural","Accommodation",1459687.65,3843
"2019-01-08","Municipality: rural","Food and beverage services",418009.09,8166
"2019-01-08","Municipality: rural","Other",705574.69,4519
"2019-01-08","Municipality: rural","Retail: Food, beverage, tobacco",3492651.47,70895
"2019-01-08","Municipality: rural","Retail: Fuel stations",1437950.94,26533
"2019-01-08","Municipality: rural","Retail: Other goods",3026548.66,31343
"2019-01-08","Municipality: rural","Transport services",246356.29,2824
"2019-01-08","Principle core: city","Accommodation",1987254.07,24864
"2019-01-08","Principle core: city","Food and beverage services",4580202.33,160648
"2019-01-08","Principle core: city","Other",5475512.08,35715
"2019-01-08","Principle core: city","Retail: Food, beverage, tobacco",14242363.96,529272
"2019-01-08","Principle core: city","Retail: Fuel stations",2212716.34,52260
"2019-01-08","Principle core: city","Retail: Other goods",21110974.77,207909
"2019-01-08","Principle core: city","Transport services",818984.41,35608
"2019-01-08","Principle core: other","Accommodation",464139.88,7759
"2019-01-08","Principle core: other","Food and beverage services",1527183.64,58600
"2019-01-08","Principle core: other","Other",2935229.15,16580
"2019-01-08","Principle core: other","Retail: Food, beverage, tobacco",8799389.71,218129
"2019-01-08","Principle core: other","Retail: Fuel stations",2347318.3,52763
"2019-01-08","Principle core: other","Retail: Other goods",9240147.61,95100
"2019-01-08","Principle core: other","Transport services",315188.57,14126
"2019-01-08","Secondary core","Accommodation",118835.91,1285
"2019-01-08","Secondary core","Food and beverage services",354187.67,12262
"2019-01-08","Secondary core","Other",970654.51,5967
"2019-01-08","Secondary core","Retail: Food, beverage, tobacco",2958454.73,69811
"2019-01-08","Secondary core","Retail: Fuel stations",849461.5,17984
"2019-01-08","Secondary core","Retail: Other goods",3361508.11,36819
"2019-01-08","Secondary core","Transport services",22845.78,1455
"2019-01-09","9999","Accommodation",593,7
"2019-01-09","9999","Food and beverage services",7794.15,599
"2019-01-09","9999","Retail: Food, beverage, tobacco",251.3,8
"2019-01-09","9999","Retail: Fuel stations",23602.9,519
"2019-01-09","9999","Retail: Other goods",1016.45,25
"2019-01-09","Commuting zone","Accommodation",164769.97,1231
"2019-01-09","Commuting zone","Food and beverage services",385732.91,8263
"2019-01-09","Commuting zone","Other",765276.01,4516
"2019-01-09","Commuting zone","Retail: Food, beverage, tobacco",2987828.57,65869
"2019-01-09","Commuting zone","Retail: Fuel stations",1509541.49,29462
"2019-01-09","Commuting zone","Retail: Other goods",2207130.9,28667
"2019-01-09","Commuting zone","Transport services",38974.65,580
"2019-01-09","Municipality: core","Accommodation",775968.06,1862
"2019-01-09","Municipality: core","Food and beverage services",341945.21,8067
"2019-01-09","Municipality: core","Other",549762.94,3050
"2019-01-09","Municipality: core","Retail: Food, beverage, tobacco",2374331.16,54110
