"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2020-06-27","Foreign","Retail: Food, beverage, tobacco",1859426.46,47179
"2020-06-27","Foreign","Retail: Fuel stations",618993.840000001,16398
"2020-06-27","Foreign","Retail: Other goods",3872519.96,28882
"2020-06-27","Foreign","Transport services",362853.560000001,18253
"2020-06-28","Domestic","Accommodation",7129544.43,35904
"2020-06-28","Domestic","Entertainment and sports",1953843.06,36259
"2020-06-28","Domestic","Food and beverage services",9711828.95000001,181352
"2020-06-28","Domestic","Human health services",142970.62,2200
"2020-06-28","Domestic","Other",995708.34,11482
"2020-06-28","Domestic","Personal services",418463.88,3480
"2020-06-28","Domestic","Professional services",2319295.13,33272
"2020-06-28","Domestic","Retail: Food, beverage, tobacco",6667315.39,299960
"2020-06-28","Domestic","Retail: Fuel stations",11548358.36,356755
"2020-06-28","Domestic","Retail: Other goods",9064993.03999999,74902
"2020-06-28","Domestic","Transport services",3329024.42,151847
"2020-06-28","Foreign","Accommodation",1468605.37,5925
"2020-06-28","Foreign","Entertainment and sports",152864.19,2676
"2020-06-28","Foreign","Food and beverage services",684382.680000001,15044
"2020-06-28","Foreign","Human health services",23793.46,143
"2020-06-28","Foreign","Other",37042.34,200
"2020-06-28","Foreign","Personal services",62687.59,951
"2020-06-28","Foreign","Professional services",652794.54,5344
"2020-06-28","Foreign","Retail: Food, beverage, tobacco",338078.13,14664
"2020-06-28","Foreign","Retail: Fuel stations",601675.28,16854
"2020-06-28","Foreign","Retail: Other goods",797495.160000002,6667
"2020-06-28","Foreign","Transport services",365100.29,13216
"2020-06-29","Domestic","Accommodation",3890816.72,23960
"2020-06-29","Domestic","Entertainment and sports",2197716.69,26485
"2020-06-29","Domestic","Food and beverage services",7424793.85999999,230660
"2020-06-29","Domestic","Human health services",2235900.33,12682
"2020-06-29","Domestic","Other",3620505.22,21362
"2020-06-29","Domestic","Personal services",1473524.6,15360
"2020-06-29","Domestic","Professional services",5574950.35,56015
"2020-06-29","Domestic","Retail: Food, beverage, tobacco",57157376.69,1556660
"2020-06-29","Domestic","Retail: Fuel stations",10923718.14,319733
"2020-06-29","Domestic","Retail: Other goods",65061123.52,685537
"2020-06-29","Domestic","Transport services",3367444.31,195724
"2020-06-29","Foreign","Accommodation",1271369.66,4804
"2020-06-29","Foreign","Entertainment and sports",136602.52,1891
"2020-06-29","Foreign","Food and beverage services",568488.930000001,14990
"2020-06-29","Foreign","Human health services",119940.74,501
"2020-06-29","Foreign","Other",227568.42,698
"2020-06-29","Foreign","Personal services",66844.17,850
"2020-06-29","Foreign","Professional services",1298616.32,6885
"2020-06-29","Foreign","Retail: Food, beverage, tobacco",1530250.36,46667
"2020-06-29","Foreign","Retail: Fuel stations",559504.59,15532
"2020-06-29","Foreign","Retail: Other goods",3454489.22,21785
"2020-06-29","Foreign","Transport services",397402.520000001,15590
"2020-06-30","Domestic","Accommodation",4258848.66,32156
"2020-06-30","Domestic","Entertainment and sports",2193922.3,32268
"2020-06-30","Domestic","Food and beverage services",10312368.47,280277
"2020-06-30","Domestic","Human health services",2782285.83,14522
"2020-06-30","Domestic","Other",4799423.04,23910
"2020-06-30","Domestic","Personal services",2764074.73,26398
"2020-06-30","Domestic","Professional services",4854187.46,53690
"2020-06-30","Domestic","Retail: Food, beverage, tobacco",52834014.45,1540981
"2020-06-30","Domestic","Retail: Fuel stations",11458505.6,350155
"2020-06-30","Domestic","Retail: Other goods",61542099.87,638034
"2020-06-30","Domestic","Transport services",3599146.75,208293
"2020-06-30","Foreign","Accommodation",1168667.33,5456
"2020-06-30","Foreign","Entertainment and sports",145560.8,2059
"2020-06-30","Foreign","Food and beverage services",677676.250000001,17089
"2020-06-30","Foreign","Human health services",175618.1,581
"2020-06-30","Foreign","Other",286767.59,917
"2020-06-30","Foreign","Personal services",99217.08,1204
"2020-06-30","Foreign","Professional services",1314877.78,7931
"2020-06-30","Foreign","Retail: Food, beverage, tobacco",1321282.81,44682
"2020-06-30","Foreign","Retail: Fuel stations",572549.390000001,16400
"2020-06-30","Foreign","Retail: Other goods",3011458.79,19892
"2020-06-30","Foreign","Transport services",420164.38,17676
"2020-07-01","Domestic","Accommodation",4500971.52,32098
"2020-07-01","Domestic","Entertainment and sports",2614042.04,38649
"2020-07-01","Domestic","Food and beverage services",11216878.79,293822
"2020-07-01","Domestic","Human health services",3027746.21,15077
"2020-07-01","Domestic","Other",4654225.38,23964
"2020-07-01","Domestic","Personal services",2784994.92,26592
"2020-07-01","Domestic","Professional services",5239473.65,57950
"2020-07-01","Domestic","Retail: Food, beverage, tobacco",56230896.42,1596528
"2020-07-01","Domestic","Retail: Fuel stations",11451934.84,347005
"2020-07-01","Domestic","Retail: Other goods",64804394.34,687113
"2020-07-01","Domestic","Transport services",3358269.54,208117
"2020-07-01","Foreign","Accommodation",1330231.43,5819
"2020-07-01","Foreign","Entertainment and sports",148372.08,2263
"2020-07-01","Foreign","Food and beverage services",713361.61,18205
"2020-07-01","Foreign","Human health services",186605.57,586
"2020-07-01","Foreign","Other",286299.45,716
"2020-07-01","Foreign","Personal services",73593.14,1066
"2020-07-01","Foreign","Professional services",1319601.28,7031
"2020-07-01","Foreign","Retail: Food, beverage, tobacco",1410447.79,45795
"2020-07-01","Foreign","Retail: Fuel stations",606023.64,16751
"2020-07-01","Foreign","Retail: Other goods",3427752.41999999,20687
"2020-07-01","Foreign","Transport services",450998.210000001,17420
"2020-07-02","Domestic","Accommodation",4753521.21,30889
"2020-07-02","Domestic","Entertainment and sports",2027458.71,28981
"2020-07-02","Domestic","Food and beverage services",12099374.92,305718
"2020-07-02","Domestic","Human health services",3109331.33,15125
"2020-07-02","Domestic","Other",4374275.6,22812
"2020-07-02","Domestic","Personal services",3065587.3,29328
"2020-07-02","Domestic","Professional services",4715667.39,49160
"2020-07-02","Domestic","Retail: Food, beverage, tobacco",61874187.71,1632646
"2020-07-02","Domestic","Retail: Fuel stations",11672309.11,342176
"2020-07-02","Domestic","Retail: Other goods",67126167.48,728249
"2020-07-02","Domestic","Transport services",3168145.59,209991
"2020-07-02","Foreign","Accommodation",1498340.57,6171
"2020-07-02","Foreign","Entertainment and sports",155441.02,2069
"2020-07-02","Foreign","Food and beverage services",781419.050000002,19237
"2020-07-02","Foreign","Human health services",117110.28,544
"2020-07-02","Foreign","Other",235532.79,630
"2020-07-02","Foreign","Personal services",119212.24,1178
"2020-07-02","Foreign","Professional services",1249742.79,6977
"2020-07-02","Foreign","Retail: Food, beverage, tobacco",1486774.59999999,47418
"2020-07-02","Foreign","Retail: Fuel stations",632245.88,17341
"2020-07-02","Foreign","Retail: Other goods",3723681.83,22947
"2020-07-02","Foreign","Transport services",408559.750000001,17733
"2020-07-03","Domestic","Accommodation",6155080.1,36144
"2020-07-03","Domestic","Entertainment and sports",2204828.49,33469
"2020-07-03","Domestic","Food and beverage services",15210766.4,338667
"2020-07-03","Domestic","Human health services",3156434.48,14353
"2020-07-03","Domestic","Other",5126445.45,25113
"2020-07-03","Domestic","Personal services",3504746.63,33961
"2020-07-03","Domestic","Professional services",5281862.68,64248
"2020-07-03","Domestic","Retail: Food, beverage, tobacco",82872996.02,1854365
"2020-07-03","Domestic","Retail: Fuel stations",13384886.08,377568
"2020-07-03","Domestic","Retail: Other goods",74713358.8400001,798242
"2020-07-03","Domestic","Transport services",3441803.39,220919
"2020-07-03","Foreign","Accommodation",1749283.02,6621
"2020-07-03","Foreign","Entertainment and sports",166945.34,2425
"2020-07-03","Foreign","Food and beverage services",927049.410000002,21775
"2020-07-03","Foreign","Human health services",179028.51,601
"2020-07-03","Foreign","Other",233584.46,647
"2020-07-03","Foreign","Personal services",98879.79,1247
"2020-07-03","Foreign","Professional services",1242072.48,8003
"2020-07-03","Foreign","Retail: Food, beverage, tobacco",1785165.44,51562
"2020-07-03","Foreign","Retail: Fuel stations",735471.080000001,19705
"2020-07-03","Foreign","Retail: Other goods",3871710.37000001,25646
"2020-07-03","Foreign","Transport services",420769.72,18933
"2020-07-04","Domestic","Accommodation",7265530.72,45869
"2020-07-04","Domestic","Entertainment and sports",2121765.77,38340
"2020-07-04","Domestic","Food and beverage services",15426497.1,284033
"2020-07-04","Domestic","Human health services",2435798.78,9314
"2020-07-04","Domestic","Other",2472159.46,21330
"2020-07-04","Domestic","Personal services",2939044.24,27725
"2020-07-04","Domestic","Professional services",3082594.98,38653
"2020-07-04","Domestic","Retail: Food, beverage, tobacco",90527897.54,1818066
"2020-07-04","Domestic","Retail: Fuel stations",13513402.39,377594
"2020-07-04","Domestic","Retail: Other goods",86121184.0900001,884874
"2020-07-04","Domestic","Transport services",4059344.57,235649
"2020-07-04","Foreign","Accommodation",1521391.4,8123
"2020-07-04","Foreign","Entertainment and sports",197311.75,3055
"2020-07-04","Foreign","Food and beverage services",1086905,22920
"2020-07-04","Foreign","Human health services",63400.92,299
"2020-07-04","Foreign","Other",62741.92,338
"2020-07-04","Foreign","Personal services",99709.73,1126
"2020-07-04","Foreign","Professional services",552359.690000001,6529
"2020-07-04","Foreign","Retail: Food, beverage, tobacco",1892359.49,51057
"2020-07-04","Foreign","Retail: Fuel stations",746895.56,19345
"2020-07-04","Foreign","Retail: Other goods",3928018.85999999,29198
"2020-07-04","Foreign","Transport services",542818.379999999,21387
"2020-07-05","Domestic","Accommodation",7922360.02000001,45552
"2020-07-05","Domestic","Entertainment and sports",1886421.87,42342
"2020-07-05","Domestic","Food and beverage services",10185433.57,197024
"2020-07-05","Domestic","Human health services",149475.67,2117
"2020-07-05","Domestic","Other",724663.24,11370
"2020-07-05","Domestic","Personal services",368440.27,3003
"2020-07-05","Domestic","Professional services",1630419.17,27305
"2020-07-05","Domestic","Retail: Food, beverage, tobacco",6969248.16,333000
"2020-07-05","Domestic","Retail: Fuel stations",12948273.93,412787
"2020-07-05","Domestic","Retail: Other goods",8247958.05,69945
"2020-07-05","Domestic","Transport services",3941706.15,179588
"2020-07-05","Foreign","Accommodation",1988047.08,8424
"2020-07-05","Foreign","Entertainment and sports",161639.45,3426
"2020-07-05","Foreign","Food and beverage services",842338.3,19148
"2020-07-05","Foreign","Human health services",44878.08,145
"2020-07-05","Foreign","Other",36027.83,184
"2020-07-05","Foreign","Personal services",61994.52,984
"2020-07-05","Foreign","Professional services",424994.78,5214
"2020-07-05","Foreign","Retail: Food, beverage, tobacco",419292.040000001,18654
"2020-07-05","Foreign","Retail: Fuel stations",743930.24,21462
"2020-07-05","Foreign","Retail: Other goods",847898.780000001,7344
"2020-07-05","Foreign","Transport services",542275.89,17821
"2020-07-06","Domestic","Accommodation",4653828.22,28506
"2020-07-06","Domestic","Entertainment and sports",2068029.38,28295
"2020-07-06","Domestic","Food and beverage services",7752259.86,238956
"2020-07-06","Domestic","Human health services",2072470.79,12698
"2020-07-06","Domestic","Other",3791463.26,22271
"2020-07-06","Domestic","Personal services",1403092.89,14621
"2020-07-06","Domestic","Professional services",6343955.75,61987
"2020-07-06","Domestic","Retail: Food, beverage, tobacco",57064521.8599999,1568399
"2020-07-06","Domestic","Retail: Fuel stations",10904131.12,324209
"2020-07-06","Domestic","Retail: Other goods",62528457.71,691750
"2020-07-06","Domestic","Transport services",3470522.48,186859
"2020-07-06","Foreign","Accommodation",1561110.62,6429
"2020-07-06","Foreign","Entertainment and sports",157147.3,2171
"2020-07-06","Foreign","Food and beverage services",667878.850000001,18804
"2020-07-06","Foreign","Human health services",148310.07,587
"2020-07-06","Foreign","Other",218262.81,608
"2020-07-06","Foreign","Personal services",80518.49,1065
"2020-07-06","Foreign","Professional services",1330840.7,7896
"2020-07-06","Foreign","Retail: Food, beverage, tobacco",1777656,54295
"2020-07-06","Foreign","Retail: Fuel stations",666016.56,18357
"2020-07-06","Foreign","Retail: Other goods",3930639.84,24633
"2020-07-06","Foreign","Transport services",506234.19,17656
"2020-07-07","Domestic","Accommodation",4754687.52,35783
"2020-07-07","Domestic","Entertainment and sports",2175027.61,35598
"2020-07-07","Domestic","Food and beverage services",10650697.29,282688
"2020-07-07","Domestic","Human health services",2818857,14466
"2020-07-07","Domestic","Other",3955899.28,23636
"2020-07-07","Domestic","Personal services",2704449.46,25667
"2020-07-07","Domestic","Professional services",5696931,57270
"2020-07-07","Domestic","Retail: Food, beverage, tobacco",53558222.57,1521504
"2020-07-07","Domestic","Retail: Fuel stations",11128878.63,339240
"2020-07-07","Domestic","Retail: Other goods",60321417.95,650456
"2020-07-07","Domestic","Transport services",3486566.55,200803
"2020-07-07","Foreign","Accommodation",1407929.69,6849
"2020-07-07","Foreign","Entertainment and sports",146644.81,2552
"2020-07-07","Foreign","Food and beverage services",824800.830000001,20724
"2020-07-07","Foreign","Human health services",215232.72,616
"2020-07-07","Foreign","Other",141416.24,572
"2020-07-07","Foreign","Personal services",117029.82,1081
"2020-07-07","Foreign","Professional services",1173988.1,6898
"2020-07-07","Foreign","Retail: Food, beverage, tobacco",1486430.37,49457
"2020-07-07","Foreign","Retail: Fuel stations",632989.480000002,17819
"2020-07-07","Foreign","Retail: Other goods",3556742.08,22106
"2020-07-07","Foreign","Transport services",497703.41,19179
"2020-07-08","Domestic","Accommodation",5597922.16,40050
"2020-07-08","Domestic","Entertainment and sports",2110465.14,38632
"2020-07-08","Domestic","Food and beverage services",11934516.12,301981
"2020-07-08","Domestic","Human health services",2826419.38,14371
"2020-07-08","Domestic","Other",3907472.34,23260
"2020-07-08","Domestic","Personal services",2636649.29,25298
"2020-07-08","Domestic","Professional services",5871665.75,60508
"2020-07-08","Domestic","Retail: Food, beverage, tobacco",52992013.06,1508744
"2020-07-08","Domestic","Retail: Fuel stations",11514403.1,351912
"2020-07-08","Domestic","Retail: Other goods",57443205.7000001,630676
"2020-07-08","Domestic","Transport services",3511812.78,204152
"2020-07-08","Foreign","Accommodation",1519376.11,7578
"2020-07-08","Foreign","Entertainment and sports",165251.63,3024
"2020-07-08","Foreign","Food and beverage services",859298.730000002,21720
"2020-07-08","Foreign","Human health services",213850.89,568
"2020-07-08","Foreign","Other",145879.22,514
"2020-07-08","Foreign","Personal services",92628.55,1046
"2020-07-08","Foreign","Professional services",1284730.14,7589
"2020-07-08","Foreign","Retail: Food, beverage, tobacco",1493302.4,49919
"2020-07-08","Foreign","Retail: Fuel stations",642786.680000001,18264
"2020-07-08","Foreign","Retail: Other goods",3054472.64,21674
"2020-07-08","Foreign","Transport services",512111.81,19300
"2020-07-09","Domestic","Accommodation",6147179.22,41717
"2020-07-09","Domestic","Entertainment and sports",1836589.77,35916
"2020-07-09","Domestic","Food and beverage services",13100545.74,319357
"2020-07-09","Domestic","Human health services",2902857.7,14240
"2020-07-09","Domestic","Other",4016319.22,23554
"2020-07-09","Domestic","Personal services",2826143.63,27151
"2020-07-09","Domestic","Professional services",5684591.98,63830
"2020-07-09","Domestic","Retail: Food, beverage, tobacco",56356130.6300001,1557690
"2020-07-09","Domestic","Retail: Fuel stations",11906279.12,363487
"2020-07-09","Domestic","Retail: Other goods",57409680.84,636269
"2020-07-09","Domestic","Transport services",3534026.73,214513
"2020-07-09","Foreign","Accommodation",1782565.44,7966
"2020-07-09","Foreign","Entertainment and sports",148871.99,2979
"2020-07-09","Foreign","Food and beverage services",907053.780000001,22692
"2020-07-09","Foreign","Human health services",261903.24,544
"2020-07-09","Foreign","Other",187960.64,552
"2020-07-09","Foreign","Personal services",93775.82,1127
"2020-07-09","Foreign","Professional services",1237491.01,7729
"2020-07-09","Foreign","Retail: Food, beverage, tobacco",1542639.6,52707
"2020-07-09","Foreign","Retail: Fuel stations",700319.020000001,19911
"2020-07-09","Foreign","Retail: Other goods",3318630.50999999,22293
"2020-07-09","Foreign","Transport services",584539.140000001,20037
"2020-07-10","Domestic","Accommodation",7619892.71999999,42771
"2020-07-10","Domestic","Entertainment and sports",1873308.09,33420
"2020-07-10","Domestic","Food and beverage services",15121058.05,334661
"2020-07-10","Domestic","Human health services",3105652.74,14223
"2020-07-10","Domestic","Other",4679584.95,25690
"2020-07-10","Domestic","Personal services",3277559.09,31754
"2020-07-10","Domestic","Professional services",5546179.41,58669
"2020-07-10","Domestic","Retail: Food, beverage, tobacco",76959071.0800001,1759772
"2020-07-10","Domestic","Retail: Fuel stations",13069597.93,379461
"2020-07-10","Domestic","Retail: Other goods",65386022.43,711999
"2020-07-10","Domestic","Transport services",3478667.49,222241
"2020-07-10","Foreign","Accommodation",1921963.38,8011
"2020-07-10","Foreign","Entertainment and sports",167248.61,2871
"2020-07-10","Foreign","Food and beverage services",1059630.09,24698
"2020-07-10","Foreign","Human health services",115148.43,554
"2020-07-10","Foreign","Other",167615.38,609
"2020-07-10","Foreign","Personal services",105908.12,1211
"2020-07-10","Foreign","Professional services",1297407.06,8535
"2020-07-10","Foreign","Retail: Food, beverage, tobacco",1941321,56617
"2020-07-10","Foreign","Retail: Fuel stations",808775.270000001,22014
"2020-07-10","Foreign","Retail: Other goods",3715718.06999999,24992
"2020-07-10","Foreign","Transport services",502646.64,20625
"2020-07-11","Domestic","Accommodation",8203405.03,41327
"2020-07-11","Domestic","Entertainment and sports",2120794.41,38095
"2020-07-11","Domestic","Food and beverage services",14696920.14,266272
"2020-07-11","Domestic","Human health services",2354801.45,9169
"2020-07-11","Domestic","Other",2495682.01,20580
"2020-07-11","Domestic","Personal services",2848437.06,27594
"2020-07-11","Domestic","Professional services",3572280.79,41585
"2020-07-11","Domestic","Retail: Food, beverage, tobacco",91909186.52,1769712
"2020-07-11","Domestic","Retail: Fuel stations",12433970.09,333789
"2020-07-11","Domestic","Retail: Other goods",87006151.4300001,896790
"2020-07-11","Domestic","Transport services",3334296.09,207840
"2020-07-11","Foreign","Accommodation",1886740.33,8551
"2020-07-11","Foreign","Entertainment and sports",209675.08,3969
"2020-07-11","Foreign","Food and beverage services",1237112.48,25505
"2020-07-11","Foreign","Human health services",56528.06,343
"2020-07-11","Foreign","Other",40611.37,257
"2020-07-11","Foreign","Personal services",135279.62,1337
"2020-07-11","Foreign","Professional services",644145.14,7810
"2020-07-11","Foreign","Retail: Food, beverage, tobacco",2176607.32,56952
"2020-07-11","Foreign","Retail: Fuel stations",799215.320000001,20476
"2020-07-11","Foreign","Retail: Other goods",4569422.49999999,33989
"2020-07-11","Foreign","Transport services",410956.7,20269
"2020-07-12","Domestic","Accommodation",8505725.06,48223
"2020-07-12","Domestic","Entertainment and sports",1755875.97,38265
"2020-07-12","Domestic","Food and beverage services",10380061.05,199289
"2020-07-12","Domestic","Human health services",169588.95,2163
"2020-07-12","Domestic","Other",660607.4,11336
"2020-07-12","Domestic","Personal services",346438.29,2980
"2020-07-12","Domestic","Professional services",1680125.2,25411
"2020-07-12","Domestic","Retail: Food, beverage, tobacco",6755800.42,317503
"2020-07-12","Domestic","Retail: Fuel stations",12525362.22,395454
"2020-07-12","Domestic","Retail: Other goods",7785850.85,68755
"2020-07-12","Domestic","Transport services",4165781.21,180392
"2020-07-12","Foreign","Accommodation",2198915.5,10236
"2020-07-12","Foreign","Entertainment and sports",185340.59,4136
"2020-07-12","Foreign","Food and beverage services",1050364.78,22797
"2020-07-12","Foreign","Human health services",33328,156
"2020-07-12","Foreign","Other",19755.23,170
"2020-07-12","Foreign","Personal services",63721.74,929
"2020-07-12","Foreign","Professional services",486214.86,6061
"2020-07-12","Foreign","Retail: Food, beverage, tobacco",518423.330000001,21225
"2020-07-12","Foreign","Retail: Fuel stations",816209.699999999,23226
"2020-07-12","Foreign","Retail: Other goods",835038.540000001,7986
"2020-07-12","Foreign","Transport services",637216.65,20451
"2020-07-13","Domestic","Accommodation",5461467.66,35355
"2020-07-13","Domestic","Entertainment and sports",1978760.01,31446
"2020-07-13","Domestic","Food and beverage services",8363171.29000001,242464
"2020-07-13","Domestic","Human health services",1960193.5,12033
"2020-07-13","Domestic","Other",3093751.1,21008
"2020-07-13","Domestic","Personal services",1306189.46,13669
"2020-07-13","Domestic","Professional services",5313420.32,61936
"2020-07-13","Domestic","Retail: Food, beverage, tobacco",53354268.66,1491564
"2020-07-13","Domestic","Retail: Fuel stations",10733204.31,323144
"2020-07-13","Domestic","Retail: Other goods",54910787.8299999,630315
"2020-07-13","Domestic","Transport services",3732079.43,194213
"2020-07-13","Foreign","Accommodation",1832834.34,8529
"2020-07-13","Foreign","Entertainment and sports",200315.65,3178
"2020-07-13","Foreign","Food and beverage services",898965.210000002,23024
"2020-07-13","Foreign","Human health services",172473.31,570
"2020-07-13","Foreign","Other",107996.06,550
"2020-07-13","Foreign","Personal services",64318.37,919
"2020-07-13","Foreign","Professional services",1297960.02,8595
"2020-07-13","Foreign","Retail: Food, beverage, tobacco",1890112.49,60021
"2020-07-13","Foreign","Retail: Fuel stations",736671.910000001,20438
"2020-07-13","Foreign","Retail: Other goods",3433924.32,25448
"2020-07-13","Foreign","Transport services",559865.220000001,21382
"2020-07-14","Domestic","Accommodation",5654662.76,39369
"2020-07-14","Domestic","Entertainment and sports",2191095.73,36345
"2020-07-14","Domestic","Food and beverage services",10891279.42,277556
"2020-07-14","Domestic","Human health services",2594321.56,13717
"2020-07-14","Domestic","Other",3256323.99,21113
"2020-07-14","Domestic","Personal services",2438699.25,24049
"2020-07-14","Domestic","Professional services",4290676.56,48797
"2020-07-14","Domestic","Retail: Food, beverage, tobacco",49324580.98,1429114
"2020-07-14","Domestic","Retail: Fuel stations",10577089.05,322122
"2020-07-14","Domestic","Retail: Other goods",54090191.36,595730
"2020-07-14","Domestic","Transport services",3733962.8,200197
"2020-07-14","Foreign","Accommodation",1959103.61,8495
"2020-07-14","Foreign","Entertainment and sports",217779.35,3670
"2020-07-14","Foreign","Food and beverage services",962419.100000001,23605
"2020-07-14","Foreign","Human health services",173144.2,599
"2020-07-14","Foreign","Other",134606.72,578
"2020-07-14","Foreign","Personal services",104059.77,1261
"2020-07-14","Foreign","Professional services",1185983.8,7788
"2020-07-14","Foreign","Retail: Food, beverage, tobacco",1712548.31,57056
"2020-07-14","Foreign","Retail: Fuel stations",725780.87,20379
"2020-07-14","Foreign","Retail: Other goods",3239896.55,25372
"2020-07-14","Foreign","Transport services",705443.6,21637
"2020-07-15","Domestic","Accommodation",6072395.32,34445
"2020-07-15","Domestic","Entertainment and sports",2249069.04,37314
"2020-07-15","Domestic","Food and beverage services",11102572.09,277079
"2020-07-15","Domestic","Human health services",2800181.57,13749
"2020-07-15","Domestic","Other",3496442.37,20523
"2020-07-15","Domestic","Personal services",2642147.69,25709
"2020-07-15","Domestic","Professional services",4756736.3,50218
"2020-07-15","Domestic","Retail: Food, beverage, tobacco",52992468.64,1431932
"2020-07-15","Domestic","Retail: Fuel stations",10454441.48,305383
"2020-07-15","Domestic","Retail: Other goods",62301485.29,682471
"2020-07-15","Domestic","Transport services",3184639.86,193992
"2020-07-15","Foreign","Accommodation",1744781.77,7802
"2020-07-15","Foreign","Entertainment and sports",194818.76,3396
"2020-07-15","Foreign","Food and beverage services",904362.740000001,22257
"2020-07-15","Foreign","Human health services",146900.89,646
"2020-07-15","Foreign","Other",234201.64,602
"2020-07-15","Foreign","Personal services",109200.48,1029
"2020-07-15","Foreign","Professional services",1271058.71,7686
"2020-07-15","Foreign","Retail: Food, beverage, tobacco",1679807.76999999,54158
"2020-07-15","Foreign","Retail: Fuel stations",688337.970000001,18727
"2020-07-15","Foreign","Retail: Other goods",3822615.36999999,25440
"2020-07-15","Foreign","Transport services",486647.71,19333
"2020-07-16","Domestic","Accommodation",6451718.24,35411
"2020-07-16","Domestic","Entertainment and sports",2176974.48,37336
"2020-07-16","Domestic","Food and beverage services",12178245.42,290763
"2020-07-16","Domestic","Human health services",2778645.23,13486
"2020-07-16","Domestic","Other",3313293.33,19923
"2020-07-16","Domestic","Personal services",2772841.72,26723
"2020-07-16","Domestic","Professional services",4397008.15,49793
"2020-07-16","Domestic","Retail: Food, beverage, tobacco",54551904.84,1431553
"2020-07-16","Domestic","Retail: Fuel stations",10708505.27,308555
"2020-07-16","Domestic","Retail: Other goods",60229278.14,660752
"2020-07-16","Domestic","Transport services",3178547.84,201275
"2020-07-16","Foreign","Accommodation",1866475.79,7815
"2020-07-16","Foreign","Entertainment and sports",212704.07,3532
"2020-07-16","Foreign","Food and beverage services",965356.32,23507
"2020-07-16","Foreign","Human health services",177437.58,645
"2020-07-16","Foreign","Other",153735.5,553
"2020-07-16","Foreign","Personal services",101036.52,1094
"2020-07-16","Foreign","Professional services",1273952.44,7818
"2020-07-16","Foreign","Retail: Food, beverage, tobacco",1674437,54354
"2020-07-16","Foreign","Retail: Fuel stations",741410.200000001,19810
"2020-07-16","Foreign","Retail: Other goods",3647557.68000001,25617
"2020-07-16","Foreign","Transport services",484910.95,20262
"2020-07-17","Domestic","Accommodation",8445843.19,42122
"2020-07-17","Domestic","Entertainment and sports",2083354.98,35921
"2020-07-17","Domestic","Food and beverage services",14500328.55,315526
"2020-07-17","Domestic","Human health services",2848006.14,13051
"2020-07-17","Domestic","Other",3818657.52,22294
"2020-07-17","Domestic","Personal services",3089090.15,30553
"2020-07-17","Domestic","Professional services",4552031.39,50968
"2020-07-17","Domestic","Retail: Food, beverage, tobacco",72869728.75,1635378
"2020-07-17","Domestic","Retail: Fuel stations",12477569.78,349152
"2020-07-17","Domestic","Retail: Other goods",62555952.1700001,684110
"2020-07-17","Domestic","Transport services",3597283.93,217572
"2020-07-17","Foreign","Accommodation",2242902.91,8875
"2020-07-17","Foreign","Entertainment and sports",198930.81,3298
"2020-07-17","Foreign","Food and beverage services",1128171.48,26618
"2020-07-17","Foreign","Human health services",249677.02,653
"2020-07-17","Foreign","Other",171582.48,526
"2020-07-17","Foreign","Personal services",103122.41,1139
"2020-07-17","Foreign","Professional services",1321544.79,8764
"2020-07-17","Foreign","Retail: Food, beverage, tobacco",1919169.61,58299
"2020-07-17","Foreign","Retail: Fuel stations",858242.810000002,22821
"2020-07-17","Foreign","Retail: Other goods",3615534.89999999,27082
"2020-07-17","Foreign","Transport services",508914.68,21491
"2020-07-18","Domestic","Accommodation",9555259.64,52132
"2020-07-18","Domestic","Entertainment and sports",1887903.32,35190
"2020-07-18","Domestic","Food and beverage services",14493400.2,262697
"2020-07-18","Domestic","Human health services",2100009.58,8108
"2020-07-18","Domestic","Other",2222141.62,20949
"2020-07-18","Domestic","Personal services",2450090.09,23564
"2020-07-18","Domestic","Professional services",2706456.43,38861
"2020-07-18","Domestic","Retail: Food, beverage, tobacco",79557739.05,1623350
"2020-07-18","Domestic","Retail: Fuel stations",12753535.98,352790
"2020-07-18","Domestic","Retail: Other goods",67520565.9700001,715872
"2020-07-18","Domestic","Transport services",4256871.87,229121
"2020-07-18","Foreign","Accommodation",2236533.62,11043
"2020-07-18","Foreign","Entertainment and sports",189131.86,3585
"2020-07-18","Foreign","Food and beverage services",1344390.83,28605
"2020-07-18","Foreign","Human health services",63591.32,328
"2020-07-18","Foreign","Other",45450,278
"2020-07-18","Foreign","Personal services",104806.26,1099
"2020-07-18","Foreign","Professional services",629230.540000001,7719
"2020-07-18","Foreign","Retail: Food, beverage, tobacco",2049944.89,58221
"2020-07-18","Foreign","Retail: Fuel stations",930658.840000001,24455
"2020-07-18","Foreign","Retail: Other goods",3966762.99999999,29739
"2020-07-18","Foreign","Transport services",707115.23,24481
"2020-07-19","Domestic","Accommodation",9584204.86,51220
"2020-07-19","Domestic","Entertainment and sports",1662702.49,40128
"2020-07-19","Domestic","Food and beverage services",10055419.73,193895
"2020-07-19","Domestic","Human health services",139522.53,2002
"2020-07-19","Domestic","Other",625853.83,10584
"2020-07-19","Domestic","Personal services",311160.52,2685
"2020-07-19","Domestic","Professional services",1347965.54,25519
"2020-07-19","Domestic","Retail: Food, beverage, tobacco",6770058.46,313710
"2020-07-19","Domestic","Retail: Fuel stations",12389048.2,387013
"2020-07-19","Domestic","Retail: Other goods",6979298.75,62302
