"Date","Cardholder origin","Merchant category","Amount CHF","Number of transactions"
"2019-01-07","Domestic","Personal services",1249939.18,12634
"2019-01-07","Domestic","Professional services",5002755.29,40576
"2019-01-07","Domestic","Retail: Food, beverage, tobacco",40094905.93,1074780
"2019-01-07","Domestic","Retail: Fuel stations",9281635.87,195096
"2019-01-07","Domestic","Retail: Other goods",42618981.15,461093
"2019-01-07","Domestic","Transport services",4222292.05,140242
"2019-01-07","Foreign","Accommodation",4016830.29,9781
"2019-01-07","Foreign","Entertainment and sports",246004.91,1757
"2019-01-07","Foreign","Food and beverage services",1226921.16,31327
"2019-01-07","Foreign","Human health services",491763.93,684
"2019-01-07","Foreign","Other",437094.9,1081
"2019-01-07","Foreign","Personal services",81724.53,1021
"2019-01-07","Foreign","Professional services",2236193.98,9517
"2019-01-07","Foreign","Retail: Food, beverage, tobacco",1354192.5,41218
"2019-01-07","Foreign","Retail: Fuel stations",592718.98,12767
"2019-01-07","Foreign","Retail: Other goods",5281117.40000001,28944
"2019-01-07","Foreign","Transport services",1292312.11,20653
"2019-01-08","Domestic","Accommodation",2275423.42,32633
"2019-01-08","Domestic","Entertainment and sports",2545983.38,18448
"2019-01-08","Domestic","Food and beverage services",6651277.09,231525
"2019-01-08","Domestic","Human health services",2261905.6,10830
"2019-01-08","Domestic","Other",2293907.14,9201
"2019-01-08","Domestic","Personal services",2170836.52,20664
"2019-01-08","Domestic","Professional services",4172429.98,35604
"2019-01-08","Domestic","Retail: Food, beverage, tobacco",36190640.99,1007403
"2019-01-08","Domestic","Retail: Fuel stations",9119137.65,193868
"2019-01-08","Domestic","Retail: Other goods",42905144.0599999,446323
"2019-01-08","Domestic","Transport services",3206895.71,144702
"2019-01-08","Foreign","Accommodation",3612140.69,9617
"2019-01-08","Foreign","Entertainment and sports",227418.55,1882
"2019-01-08","Foreign","Food and beverage services",1207415.17,29968
"2019-01-08","Foreign","Human health services",395914.55,667
"2019-01-08","Foreign","Other",545810.72,1197
"2019-01-08","Foreign","Personal services",93191.55,1033
"2019-01-08","Foreign","Professional services",1808721.21,7916
