"X","FINALPROCESSINGDATE","TYPE","OURCODE","OURCATEGORY","STADTCHARAKTER","COUNTRY","NTRX","ISSUINGBASEAMOUNT","ATV"
567,"03-AUG-20","ATM Deposits",999,"Other",2,"CHE",6203,9890867,1594.53
568,"03-AUG-20","ATM Deposits",999,"Other",3,"CHE",1952,3047120,1561.02
569,"03-AUG-20","ATM Deposits",999,"Other",4,"CHE",2137,3208543,1501.42
570,"03-AUG-20","ATM Deposits",999,"Other",5,"CHE",1268,2180512,1719.65
571,"03-AUG-20","ATM Deposits",999,"Other",6,"CHE",1978,2960839,1496.89
572,"03-AUG-20","ATM Deposits",999,"Other",99,"CHE",114,167034,1465.21
573,"03-AUG-20","ATM Withdraws",999,"Other",0,"CHE",34502,16150164,468.09
574,"03-AUG-20","ATM Withdraws",999,"Other",1,"CHE",97777,53498727,547.15
575,"03-AUG-20","ATM Withdraws",999,"Other",2,"CHE",58507,38224430,653.33
576,"03-AUG-20","ATM Withdraws",999,"Other",3,"CHE",17861,11324684,634.05
577,"03-AUG-20","ATM Withdraws",999,"Other",4,"CHE",23896,12749496,533.54
578,"03-AUG-20","ATM Withdraws",999,"Other",5,"CHE",15992,7584705,474.28
579,"03-AUG-20","ATM Withdraws",999,"Other",6,"CHE",14589,7608009,521.49
580,"03-AUG-20","ATM Withdraws",999,"Other",99,"CHE",475,384092,808.61
581,"03-DEC-20","ATM Deposits",999,"Other",0,"CHE",2037,3456251,1696.74
582,"03-DEC-20","ATM Deposits",999,"Other",1,"CHE",10298,13996859,1359.18
583,"03-DEC-20","ATM Deposits",999,"Other",2,"CHE",5156,8085844,1568.24
584,"03-DEC-20","ATM Deposits",999,"Other",3,"CHE",1515,2488797,1642.77
585,"03-DEC-20","ATM Deposits",999,"Other",4,"CHE",1568,2518506,1606.19
586,"03-DEC-20","ATM Deposits",999,"Other",5,"CHE",1047,1555294,1485.48
587,"03-DEC-20","ATM Deposits",999,"Other",6,"CHE",1476,2049824,1388.77
588,"03-DEC-20","ATM Deposits",999,"Other",99,"CHE",70,86726,1238.94
589,"03-DEC-20","ATM Withdraws",999,"Other",0,"CHE",31292,15514675,495.8
590,"03-DEC-20","ATM Withdraws",999,"Other",1,"CHE",97416,51308356,526.69
591,"03-DEC-20","ATM Withdraws",999,"Other",2,"CHE",55064,35309044,641.24
592,"03-DEC-20","ATM Withdraws",999,"Other",3,"CHE",16935,10184880,601.41
593,"03-DEC-20","ATM Withdraws",999,"Other",4,"CHE",22532,12358633,548.49
594,"03-DEC-20","ATM Withdraws",999,"Other",5,"CHE",14606,7209490,493.6
595,"03-DEC-20","ATM Withdraws",999,"Other",6,"CHE",13620,6722601,493.58
596,"03-DEC-20","ATM Withdraws",999,"Other",99,"CHE",481,369402,767.99
597,"03-FEB-20","ATM Deposits",999,"Other",0,"CHE",2895,4727552,1633.01
598,"03-FEB-20","ATM Deposits",999,"Other",1,"CHE",14685,20580009,1401.43
599,"03-FEB-20","ATM Deposits",999,"Other",2,"CHE",6776,10885630,1606.5
