"datum","transaction","instrument","holder","location","measure","value","edate","year","month","day"
"2005-03","DG","K","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","K","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","K","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","AZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","D","AZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","D","AZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","DG","EG","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","II","TT",273,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","II","BMF",76.8,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","II","BTF",281.31868132,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","IA","TT",172.6,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","IA","BMF",61.3,2005-03-01,2005,3,1
"2005-03","BT","K","IZ","IA","BTF",355.15643105,2005-03-01,2005,3,1
"2005-03","BT","K","AZ","II","TT",231.9,2005-03-01,2005,3,1
"2005-03","BT","K","AZ","II","BMF",54.5,2005-03-01,2005,3,1
"2005-03","BT","K","AZ","II","BTF",235.01509271,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","II","TT",8466.7,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","II","BMF",1930.2,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","II","BTF",227.97548041,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","IA","TT",505.3,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","IA","BMF",149.9,2005-03-01,2005,3,1
"2005-03","BT","D","IZ","IA","BTF",296.65545221,2005-03-01,2005,3,1
"2005-03","BT","D","AZ","II","TT",322.9,2005-03-01,2005,3,1
"2005-03","BT","D","AZ","II","BMF",85.7,2005-03-01,2005,3,1
"2005-03","BT","D","AZ","II","BTF",265.40724683,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","II","BTF",NA,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","IA","TT",NA,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","IA","BMF",NA,2005-03-01,2005,3,1
"2005-03","BT","EG","IZ","IA","BTF",NA,2005-03-01,2005,3,1
"2005-03","BE","D","IZ","II","TT",NA,2005-03-01,2005,3,1
"2005-03","BE","D","IZ","II","BMF",NA,2005-03-01,2005,3,1
"2005-04","ZT","K","IZ","II","TT",5004.7,2005-04-01,2005,4,1
"2005-04","ZT","K","IZ","II","BMF",942.1,2005-04-01,2005,4,1
"2005-04","ZT","K","IZ","II","BTF",188.24305153,2005-04-01,2005,4,1
"2005-04","ZT","K","IZ","IA","TT",3463.9,2005-04-01,2005,4,1
"2005-04","ZT","K","IZ","IA","BMF",746.6,2005-04-01,2005,4,1
"2005-04","ZT","K","IZ","IA","BTF",215.53740004,2005-04-01,2005,4,1
"2005-04","ZT","K","AZ","II","TT",1648.5,2005-04-01,2005,4,1
"2005-04","ZT","K","AZ","II","BMF",331.2,2005-04-01,2005,4,1
"2005-04","ZT","K","AZ","II","BTF",200.90991811,2005-04-01,2005,4,1
"2005-04","ZT","D","IZ","II","TT",20834.5,2005-04-01,2005,4,1
"2005-04","ZT","D","IZ","II","BMF",1758.2,2005-04-01,2005,4,1
"2005-04","ZT","D","IZ","II","BTF",84.38887422,2005-04-01,2005,4,1
