"Date","Cardholder origin","Merchant category","Scaled Value","Scaled Number of Transactions"
"2019-01-04","Domestic","Human health services",0.844814833413016,0.299163687605406
"2019-01-04","Domestic","Other",0.555115697149893,0.230915484388903
"2019-01-04","Domestic","Other",0.346774623963356,0.13472902268437
"2019-01-04","Domestic","Personal services",0.975297869918908,0.874820967425078
"2019-01-04","Domestic","Professional services",1.66862116732472,1.16378821032682
"2019-01-04","Domestic","Retail: Food, beverage, tobacco",19.9726969346328,36.1630506674933
"2019-01-04","Domestic","Retail: Fuel stations",4.05498748856605,7.038605778937
"2019-01-04","Domestic","Retail: Other goods",25.5923223650677,21.1998700293182
"2019-01-04","Domestic","Transport services",2.00477422928322,5.48092890970776
"2019-01-04","Foreign","Accommodation",2.64234293259967,0.517707485753867
"2019-01-04","Foreign","Entertainment and sports",0.143223295336974,0.128203298074028
