"Date","Cardholder origin","Cardholder origin detail","Scaled Value","Scaled Number of Transactions"
"2021-07-21","Foreign","FRA",0.864696274532558,1.63758300755692
"2021-07-21","Foreign","GBR",0.386815026809651,0.459791679837074
"2021-07-21","Foreign","ITA",0.321982065115236,0.465671629616185
"2021-07-21","Foreign","LIE",0.127504851294627,0.168139373163365
"2021-07-21","Foreign","NLD",0.295393787224941,0.484908921957092
"2021-07-21","Foreign","RUS",0.108099770686791,0.0636258149508429
"2021-07-21","Foreign","RoW",2.36594612955655,2.14764315978305
"2021-07-21","Foreign","USA",0.56077901210817,0.421690964794395
"2021-07-22","Domestic","CHE",62.9302534339034,112.801228467658
"2021-07-22","Foreign","AUT",0.119556459507318,0.168717171696573
"2021-07-22","Foreign","CHN",0.437357905448892,0.0460539419115343
"2021-07-22","Foreign","DEU",1.09575366724541,1.44334073595219
"2021-07-22","Foreign","FRA",0.839079780858031,1.69947542690815
"2021-07-22","Foreign","GBR",0.330574051109727,0.450207021815633
"2021-07-22","Foreign","ITA",0.327102047763189,0.494867449617667
"2021-07-22","Foreign","LIE",0.130535436788743,0.17391735849544
"2021-07-22","Foreign","NLD",0.297695389664438,0.516144030899306
"2021-07-22","Foreign","RUS",0.17486209740299,0.0612126563709766
"2021-07-22","Foreign","RoW",2.44177907015536,2.25344826765803
"2021-07-22","Foreign","USA",0.628462880485097,0.446468325424291
"2021-07-23","Domestic","CHE",77.5649251193849,126.077577270357
"2021-07-23","Foreign","AUT",0.120564948592017,0.173577477005318
"2021-07-23","Foreign","CHN",0.360537998219205,0.0503364486870718
"2021-07-23","Foreign","DEU",1.21779387509733,1.57705011416619
"2021-07-23","Foreign","FRA",0.952367543737074,1.738051976037
"2021-07-23","Foreign","GBR",0.341066999222517,0.465637641467173
"2021-07-23","Foreign","ITA",0.310741340960949,0.487899879070166
"2021-07-23","Foreign","LIE",0.169593262864188,0.193936378263627
"2021-07-23","Foreign","NLD",0.377565368510912,0.632009630881904
"2021-07-23","Foreign","RUS",0.0922848006320396,0.0643395660800992
"2021-07-23","Foreign","RoW",2.68927776922366,2.32774636139871
"2021-07-23","Foreign","USA",0.636305285152209,0.473998726124175
"2021-07-24","Domestic","CHE",83.2267072293911,122.708400035076
"2021-07-24","Foreign","AUT",0.118678095898956,0.169940745061012
"2021-07-24","Foreign","CHN",0.241906123121273,0.0475834086170834
"2021-07-24","Foreign","DEU",1.3967719459921,1.79365658782096
"2021-07-24","Foreign","FRA",0.83334618506302,1.43294036235445
"2021-07-24","Foreign","GBR",0.304711318007229,0.439840636366912
"2021-07-24","Foreign","ITA",0.361142306899328,0.518693142075221
"2021-07-24","Foreign","LIE",0.19768911893931,0.222928269371036
"2021-07-24","Foreign","NLD",0.452264103988821,0.743660700386989
"2021-07-24","Foreign","RUS",0.0932580141956325,0.0642036134840504
"2021-07-24","Foreign","RoW",2.38984440225314,2.30687763790522
"2021-07-24","Foreign","USA",0.498198381471529,0.474338607614297
"2021-07-25","Domestic","CHE",23.5242870298507,43.3026352371455
"2021-07-25","Foreign","AUT",0.0790226301278945,0.113520417700756
"2021-07-25","Foreign","CHN",0.122826243422861,0.0244374791397735
"2021-07-25","Foreign","DEU",0.952610947965525,1.16052534802165
"2021-07-25","Foreign","FRA",0.503653039059569,0.917000260349221
"2021-07-25","Foreign","GBR",0.196842569089103,0.276323651469206
"2021-07-25","Foreign","ITA",0.261050944944392,0.366800104139689
"2021-07-25","Foreign","LIE",0.0398867499131632,0.0636258149508429
"2021-07-25","Foreign","NLD",0.327591566106924,0.535721204730335
"2021-07-25","Foreign","RUS",0.077341983375651,0.0375908928074959
"2021-07-25","Foreign","RoW",1.53665364932843,1.50713649164809
"2021-07-25","Foreign","USA",0.36098209463029,0.335564995197475
"2021-07-26","Domestic","CHE",67.3583039393175,110.302861598218
"2021-07-26","Foreign","AUT",0.112587828871445,0.159642335910315
"2021-07-26","Foreign","CHN",0.338474820160338,0.0509822235183036
"2021-07-26","Foreign","DEU",1.0891657052214,1.41676200342465
"2021-07-26","Foreign","FRA",0.861596684824697,1.58371179137258
"2021-07-26","Foreign","GBR",0.336365369060722,0.426755198997214
"2021-07-26","Foreign","ITA",0.286355171153496,0.457310544959184
"2021-07-26","Foreign","LIE",0.156625933530071,0.191285302640675
"2021-07-26","Foreign","NLD",0.419277928174974,0.681156494353549
"2021-07-26","Foreign","RUS",0.0998432545847399,0.0576099125756831
"2021-07-26","Foreign","RoW",2.73392095401864,2.14240898483517
"2021-07-26","Foreign","USA",0.661666559961609,0.452484227799451
"2021-07-27","Domestic","CHE",64.6449814773557,108.598389913405
"2021-07-27","Foreign","AUT",0.109444152594245,0.152538812766764
"2021-07-27","Foreign","CHN",0.504321445178576,0.0464278115506685
"2021-07-27","Foreign","DEU",1.0613662058166,1.34429926973063
"2021-07-27","Foreign","FRA",0.840851647413632,1.53843957688833
"2021-07-27","Foreign","GBR",0.37009437498099,0.445584633549974
"2021-07-27","Foreign","ITA",0.264533740846011,0.428284665702763
"2021-07-27","Foreign","LIE",0.140414528961146,0.170722472488293
"2021-07-27","Foreign","NLD",0.38582206474995,0.634014931673624
"2021-07-27","Foreign","RUS",0.124080036006407,0.0586975333440736
"2021-07-27","Foreign","RoW",2.68382376952723,2.02508189444504
"2021-07-27","Foreign","USA",0.589673090412942,0.425055791546604
"2021-07-28","Domestic","CHE",67.2316543901809,111.099849704405
"2021-07-28","Foreign","AUT",0.10787777926356,0.158554715141924
"2021-07-28","Foreign","CHN",0.432544656928072,0.0463258471036319
"2021-07-28","Foreign","DEU",1.07347303643215,1.38440528556503
"2021-07-28","Foreign","FRA",0.858154376668717,1.59061138562206
"2021-07-28","Foreign","GBR",0.340522315884796,0.43919486153568
"2021-07-28","Foreign","ITA",0.277301897413811,0.435830034783472
"2021-07-28","Foreign","LIE",0.159672472895522,0.185269400265515
"2021-07-28","Foreign","NLD",0.390238753443911,0.667731175493729
"2021-07-28","Foreign","RUS",0.0708141636088772,0.0599211067085129
"2021-07-28","Foreign","RoW",2.48206381707525,2.03313708576094
"2021-07-28","Foreign","USA",0.643684361826957,0.438243193363338
"2021-07-29","Domestic","CHE",65.3767502016565,112.66146919892
"2021-07-29","Foreign","AUT",0.123190437332541,0.16589615532856
"2021-07-29","Foreign","CHN",0.404714671296386,0.0447623922490706
"2021-07-29","Foreign","DEU",1.07431622241995,1.45421694363609
"2021-07-29","Foreign","FRA",0.869225407866066,1.66025310294806
"2021-07-29","Foreign","GBR",0.314373215882661,0.464787937741868
"2021-07-29","Foreign","ITA",0.328510942207798,0.476921706939224
