"CubeId";"plkoprex"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1984-09";"T4";"65.8614"
"1984-09";"IAG";"61.0459"
"1984-09";"T5";
"1984-09";"IBS";
"1984-09";"T6";
"1984-09";"IAP";
"1984-09";"K1";
"1984-09";"FP";
"1984-09";"ET";
"1984-09";"K2";
"1984-09";"T7";"65.7491"
"1984-10";"T0";"0"
"1984-10";"IG";"0"
"1984-10";"T1";"71.7958"
"1984-10";"IW";"46.842"
"1984-10";"T2";"65.4573"
"1984-10";"IE";"86.4655"
"1984-10";"T3";"66.5769"
"1984-10";"IT";"29.2427"
"1984-10";"T4";"66.2897"
"1984-10";"IAG";"61.0459"
"1984-10";"T5";
"1984-10";"IBS";
"1984-10";"T6";
"1984-10";"IAP";
"1984-10";"K1";
"1984-10";"FP";
"1984-10";"ET";
"1984-10";"K2";
"1984-10";"T7";"66.1649"
"1984-11";"T0";"0"
"1984-11";"IG";"0"
"1984-11";"T1";"72.0401"
"1984-11";"IW";"47.4777"
"1984-11";"T2";"65.9072"
"1984-11";"IE";"84.6357"
"1984-11";"T3";"66.9237"
"1984-11";"IT";"29.4483"
"1984-11";"T4";"66.6445"
"1984-11";"IAG";"61.0753"
"1984-11";"T5";
"1984-11";"IBS";
"1984-11";"T6";
"1984-11";"IAP";
"1984-11";"K1";
"1984-11";"FP";
"1984-11";"ET";
"1984-11";"K2";
"1984-11";"T7";"66.5102"
"1984-12";"T0";"0"
"1984-12";"IG";"0"
"1984-12";"T1";"72.0119"
"1984-12";"IW";"47.4777"
"1984-12";"T2";"65.8657"
"1984-12";"IE";"85.0381"
"1984-12";"T3";"66.9021"
"1984-12";"IT";"29.4483"
"1984-12";"T4";"66.6226"
"1984-12";"IAG";"61.0753"
"1984-12";"T5";
"1984-12";"IBS";
"1984-12";"T6";
"1984-12";"IAP";
"1984-12";"K1";
"1984-12";"FP";
"1984-12";"ET";
"1984-12";"K2";
"1984-12";"T7";"66.4889"
"1985-01";"T0";"0"
"1985-01";"IG";"0"
"1985-01";"T1";"72.8708"
"1985-01";"IW";"47.4777"
"1985-01";"T2";"66.3962"
"1985-01";"IE";"88.2614"
"1985-01";"T3";"67.5596"
"1985-01";"IT";"29.4483"
"1985-01";"T4";"67.292"
"1985-01";"IAG";"61.0753"
"1985-01";"T5";
"1985-01";"IBS";
"1985-01";"T6";
"1985-01";"IAP";
"1985-01";"K1";
"1985-01";"FP";
"1985-01";"ET";
"1985-01";"K2";
"1985-01";"T7";"67.1388"
"1985-02";"T0";"0"
"1985-02";"IG";"0"
"1985-02";"T1";"73.5944"
"1985-02";"IW";"47.4777"
"1985-02";"T2";"66.8845"
"1985-02";"IE";"90.1056"
"1985-02";"T3";"68.113"
"1985-02";"IT";"29.4948"
"1985-02";"T4";"67.8345"
"1985-02";"IAG";"61.7819"
"1985-02";"T5";
"1985-02";"IBS";
"1985-02";"T6";
"1985-02";"IAP";
"1985-02";"K1";
"1985-02";"FP";
"1985-02";"ET";
"1985-02";"K2";
"1985-02";"T7";"67.6865"
"1985-03";"T0";"0"
"1985-03";"IG";"0"
"1985-03";"T1";"74.092"
"1985-03";"IW";"47.4777"
"1985-03";"T2";"67.1325"
"1985-03";"IE";"93.2268"
"1985-03";"T3";"68.494"
"1985-03";"IT";"29.4948"
"1985-03";"T4";"68.2223"
"1985-03";"IAG";"61.7819"
"1985-03";"T5";
"1985-03";"IBS";
"1985-03";"T6";
"1985-03";"IAP";
"1985-03";"K1";
"1985-03";"FP";
"1985-03";"ET";
"1985-03";"K2";
"1985-03";"T7";"68.0631"
"1985-04";"T0";"0"
"1985-04";"IG";"0"
"1985-04";"T1";"73.9823"
"1985-04";"IW";"47.4777"
"1985-04";"T2";"67.193"
"1985-04";"IE";"90.1114"
"1985-04";"T3";"68.41"
"1985-04";"IT";"29.4948"
"1985-04";"T4";"68.1368"
"1985-04";"IAG";"61.7819"
"1985-04";"T5";
"1985-04";"IBS";
"1985-04";"T6";
"1985-04";"IAP";
"1985-04";"K1";
"1985-04";"FP";
"1985-04";"ET";
"1985-04";"K2";
"1985-04";"T7";"67.9801"
"1985-05";"T0";"0"
"1985-05";"IG";"0"
"1985-05";"T1";"73.6176"
"1985-05";"IW";"48.3841"
"1985-05";"T2";"67.2084"
"1985-05";"IE";"88.7356"
"1985-05";"T3";"68.3409"
"1985-05";"IT";"31.2843"
"1985-05";"T4";"68.0771"
"1985-05";"IAG";"62.1497"
"1985-05";"T5";
"1985-05";"IBS";
"1985-05";"T6";
"1985-05";"IAP";
"1985-05";"K1";
"1985-05";"FP";
"1985-05";"ET";
"1985-05";"K2";
"1985-05";"T7";"67.9329"
"1985-06";"T0";"0"
"1985-06";"IG";"0"
"1985-06";"T1";"73.5732"
"1985-06";"IW";"48.3841"
"1985-06";"T2";"67.2193"
"1985-06";"IE";"87.7657"
"1985-06";"T3";"68.3069"
"1985-06";"IT";"31.2843"
"1985-06";"T4";"68.0425"
"1985-06";"IAG";"62.1497"
"1985-06";"T5";
"1985-06";"IBS";
"1985-06";"T6";
"1985-06";"IAP";
"1985-06";"K1";
"1985-06";"FP";
"1985-06";"ET";
"1985-06";"K2";
"1985-06";"T7";"67.8994"
"1985-07";"T0";"0"
"1985-07";"IG";"0"
"1985-07";"T1";"73.3816"
"1985-07";"IW";"48.3841"
"1985-07";"T2";"67.1031"
"1985-07";"IE";"86.9984"
"1985-07";"T3";"68.1601"
"1985-07";"IT";"31.2843"
"1985-07";"T4";"67.8931"
"1985-07";"IAG";"62.1497"
"1985-07";"T5";
"1985-07";"IBS";
"1985-07";"T6";
"1985-07";"IAP";
"1985-07";"K1";
"1985-07";"FP";
"1985-07";"ET";
"1985-07";"K2";
"1985-07";"T7";"67.7543"
"1985-08";"T0";"0"
"1985-08";"IG";"0"
"1985-08";"T1";"73.3624"
"1985-08";"IW";"48.3841"
"1985-08";"T2";"67.2046"
"1985-08";"IE";"84.5351"
"1985-08";"T3";"68.1427"
"1985-08";"IT";"31.5195"
"1985-08";"T4";"67.8635"
"1985-08";"IAG";"62.6344"
"1985-08";"T5";
"1985-08";"IBS";
"1985-08";"T6";
"1985-08";"IAP";
"1985-08";"K1";
"1985-08";"FP";
"1985-08";"ET";
"1985-08";"K2";
"1985-08";"T7";"67.7398"
"1985-09";"T0";"0"
"1985-09";"IG";"0"
"1985-09";"T1";"73.6383"
"1985-09";"IW";"48.3841"
"1985-09";"T2";"67.3174"
"1985-09";"IE";"86.788"
"1985-09";"T3";"68.354"
"1985-09";"IT";"31.5195"
"1985-09";"T4";"68.0786"
"1985-09";"IAG";"62.6344"
"1985-09";"T5";
"1985-09";"IBS";
"1985-09";"T6";
"1985-09";"IAP";
"1985-09";"K1";
"1985-09";"FP";
"1985-09";"ET";
"1985-09";"K2";
"1985-09";"T7";"67.9487"
"1985-10";"T0";"0"
"1985-10";"IG";"0"
"1985-10";"T1";"73.8618"
"1985-10";"IW";"48.3841"
