"CubeId";"plkoprgru"
"PublishingDate";"2023-07-21 09:00"

"Date";"D0";"Value"
"1986-07";"WE";"50.3583"
"1986-07";"HH";"88.6817"
"1986-07";"G";"72.5183"
"1986-07";"V";"68.3959"
"1986-07";"N";"207.4044"
"1986-07";"FK";"88.0169"
"1986-07";"EU";"43.5717"
"1986-07";"RH";"50.9376"
"1986-07";"SWD";"68.8277"
"1986-07";"T";"68.0967"
"1986-08";"NG";"79.1534"
"1986-08";"AGT";"57.1476"
"1986-08";"BS";"81.2849"
"1986-08";"WE";"50.5411"
"1986-08";"HH";"88.6817"
"1986-08";"G";"72.5183"
"1986-08";"V";"67.9617"
"1986-08";"N";"207.4044"
"1986-08";"FK";"92.7862"
"1986-08";"EU";"44.3205"
"1986-08";"RH";"50.578"
"1986-08";"SWD";"68.8277"
"1986-08";"T";"68.228"
"1986-09";"NG";"78.9608"
"1986-09";"AGT";"57.1476"
"1986-09";"BS";"81.737"
"1986-09";"WE";"50.6512"
"1986-09";"HH";"88.8904"
"1986-09";"G";"72.547"
"1986-09";"V";"68.5906"
"1986-09";"N";"207.4044"
"1986-09";"FK";"92.7862"
"1986-09";"EU";"44.3205"
"1986-09";"RH";"50.578"
"1986-09";"SWD";"69.0897"
"1986-09";"T";"68.3467"
"1986-10";"NG";"79.3274"
"1986-10";"AGT";"57.1476"
"1986-10";"BS";"81.737"
"1986-10";"WE";"50.4501"
"1986-10";"HH";"88.8904"
"1986-10";"G";"72.7144"
"1986-10";"V";"68.933"
"1986-10";"N";"203.1518"
"1986-10";"FK";"92.7869"
"1986-10";"EU";"44.3205"
"1986-10";"RH";"50.578"
"1986-10";"SWD";"69.0897"
"1986-10";"T";"68.3634"
"1986-11";"NG";"78.8634"
"1986-11";"AGT";"57.2751"
"1986-11";"BS";"81.737"
"1986-11";"WE";"51.0614"
"1986-11";"HH";"88.8904"
"1986-11";"G";"72.7144"
"1986-11";"V";"68.5357"
"1986-11";"N";"203.1518"
"1986-11";"FK";"92.6302"
"1986-11";"EU";"45.642"
"1986-11";"RH";"51.3442"
"1986-11";"SWD";"69.0897"
"1986-11";"T";"68.5325"
"1986-12";"NG";"79.434"
"1986-12";"AGT";"57.2751"
"1986-12";"BS";"82.0399"
"1986-12";"WE";"51.0749"
"1986-12";"HH";"89.2838"
"1986-12";"G";"72.7743"
"1986-12";"V";"68.5444"
"1986-12";"N";"203.1518"
"1986-12";"FK";"92.6302"
"1986-12";"EU";"45.642"
"1986-12";"RH";"51.3442"
"1986-12";"SWD";"69.3612"
"1986-12";"T";"68.6694"
"1987-01";"NG";"79.9786"
"1987-01";"AGT";"57.2751"
"1987-01";"BS";"82.0399"
"1987-01";"WE";"51.6133"
"1987-01";"HH";"89.2838"
"1987-01";"G";"73.6882"
"1987-01";"V";"69.374"
"1987-01";"N";"203.1518"
"1987-01";"FK";"92.6455"
"1987-01";"EU";"45.642"
"1987-01";"RH";"51.3442"
