"Date","Region","Canton","Scaled Value","Scaled Number of Transactions"
"2019-01-04","Central","OW",0.403920737110209,0.413975654968626
"2019-01-04","Central","SZ",1.20946755591316,1.3734611015831
"2019-01-04","Central","UR",0.307710058415018,0.268914234984546
"2019-01-04","Central","ZG",1.09563994598287,1.40031173930274
"2019-01-04","Eastern","AI",0.0723531365375659,0.0676024283852706
"2019-01-04","Eastern","AR",0.184021538399858,0.211202357961826
"2019-01-04","Eastern","GL",0.226707299879449,0.303514170678968
"2019-01-04","Eastern","GR",4.80196459903306,3.46719905703279
"2019-01-04","Eastern","SG",3.62403489798531,4.27754450578172
"2019-01-04","Eastern","SH",0.419788722263177,0.633131239799307
"2019-01-04","Eastern","TG",1.30725770703074,1.69859173503383
"2019-01-04","Espace Mittelland","BE",8.1496558422182,9.83345127221041
